회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업레버리지,재무레버리지,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사더디자이너스그룹,83406,2018,-4.41,-5.2,-2.17,-4.56,248.91,248.91,96.79,16.32,41.72,12.35,49.54,20.64,50.82,-1.85,-1.16,-2.06,0.23,-1.08,-2.23,2.94,0.5247459076877236,3.136691176342361,3.14,15.03,0.44,-8.37,335.51,4732.53,30.78,306.02,64.66,-3.19,57.47,0.4759908225796277,37.04,2.47,7.7,0.56,0.48,0.6,2.47,9.0,1.022314857712861,-44.81291748556595,1.0812050681177263,-0.0255625410900297,0.0148798076923076,0,0,1,0,1.0
주식회사시흥관광호텔,26391,2014,4.46,4.83,2.51,21.17,2.47,2.34,129.25,85.52,52.06,-36.38,0.03,0.92,43.62,0.05,0.02,0.18,0.22,0.22,1.83,16.03,-0.0367735601807467,0.0,3.65,-63.92,5.49,0.83,5.51,3051.93,7.16,7.7,60.36,0.3,89.25,0.0,17.58,7.09,0.12,0.12,0.12,0.12,6.84,27.0,0.2152702090963404,12.76981715558535,6.54376282459492,-0.0763184179010352,0.1019296560981979,0,0,1,0,1.0
(주)우경인터내셔널,78897,2018,7.83,10.61,8.23,4.68,14.49,10.74,0.0,0.0,77.56,-71.63,3.15,12.13,0.0,0.0,-7.87,-4.56,-5.92,-5.96,-3.49,1.87,7.7204709575482,-5.747205832512576,-5.75,-27.45,-1.68,-4.97,-0.19,3081.72,9.82,13.01,5.58,-81.66,57.91,1.759214639650189,28.54,15.29,2.32,1.73,1.71,1.99,12.19,19.0,0.0561089813166823,-0.608482135903174,0.7652898630772764,-0.8272331859203087,8.515957507243083,0,0,1,0,1.0
월드파워텍주식회사,39411,2014,-4.85,-4.98,-0.8,-26.97,2268.008800000007,2092.6744000000003,19.86,1.03,16.13,27.39,155.64,28.25,83.43,-4.24,-4.73,-121.27,0.11,-1.49,-50.68,-26.8072,-0.0380862088458877,-2.467718685358599,-2.47,12.29,-7.27,92.37,-1.08,-654.99,-2.95,-6.31,-94.5004,0.0,0.0,0.0298094178509032,0.0,0.11,0.06,0.04,0.03,0.04,0.11,22.0,1.0276616348103098,-1.0277413191189206,0.4178999593290158,-0.4960228740181103,0.3904188911704312,0,0,1,0,1.0
동훈운수(주),82309,2018,2.0,2.19,1.64,7.32,43.28,43.03,456.69,254.99,74.96,-25.98,0.06,19.82,17.96,-5.38,-1.24,-4.43,-2.52,-3.33,-11.87,5.75,-0.0327145234905685,66.88550008161272,66.89,-7.93,108.85,-3.92,116.22,903.73,5.2,6.68,23.15,-19.13,63.53,0.2244447549423796,0.0,1.09,0.39,0.28,0.28,0.38,1.09,48.0,0.205113832433309,-0.7285060449050086,4.372451291345718,-0.0349894252274794,0.0362789737512529,0,0,1,0,1.0
주식회사이조건설,95702,2021,8.74,66.72,7.56,3.87,98.62,98.62,639.78,574.39,11.32,-1.07,0.5,76.57,13.52,-58.43,-16.18,-5.71,-16.29,-16.49,-6.53,0.1,-1.0502576394791898,83.30529970191466,83.31,88.98,66.93,-11.53,1024.18,-2161.45,-5.57,-54.11,-2.85,0.0,0.0,1.953113819623597,4.8,3.34,34.86,2.83,2.53,10.43,3.34,12.0,0.0398202043564861,0.3897791845027801,1.142119405782363,-0.1246250725243085,0.1618052216051342,0,0,1,0,1.0
주식회사진명파워텍,86628,2020,13.74,20.95,5.37,8.25,71.67,48.55,64.28,59.14,25.66,-10.2,12.06,25.8,60.87,-6.38,-4.09,-6.16,-3.67,-3.73,-5.75,0.69,0.0702009710626094,-1.0814619664143246,-1.08,29.45,-8.58,-0.68,-8.61,6172.71,9.51,12.91,14.6,-42.2,78.84,0.6514849530980417,5.82,4.29,0.84,0.66,0.65,0.84,2.85,6.0,0.1297572689343075,-1.255480688897514,0.9336965989721636,-1.6969439998143567,4.805495714285715,0,0,1,0,1.0
제이에이치관광개발주식회사,64167,2014,-0.67,-1.6,-0.65,-3.58,10.39,10.27,4311.05,2488.93,40.91,-50.56,3.82,5.86,2.27,-72.74,-2.56,-14.22,-0.41,-0.43,-2.41,12.02,-0.1707735297126844,-2.226637195335176,-2.23,1.21,-2.43,-2.41,-2.51,5894.92,9.18,9.77,50.4,-28.22,32.4,0.1822031481199649,18.43,3.17,0.19,0.18,0.18,0.19,3.13,12.0,0.8465021337481708,-34.07897356683046,0.1696574921304875,-0.5531115838626187,0.8309884615384615,0,0,1,0,1.0
주식회사타워,83440,2022,7.11,10.52,4.35,95.59,14.26,6.84,157.86,124.27,41.35,-41.32,4.83,6.87,38.78,0.44,0.2,3.78,1.1,1.1,22.19,24.97,0.1317064137325488,18.41321097828262,18.41,25.15,17.95,247.78,18.14,1282.34,3.58,3.92,78.58,4.81,98.0136,0.0455274590402916,0.0,2.01,0.05,0.05,0.05,0.05,0.74,10.0,0.6292781187798445,3.8363984907161366,5.87227899432279,-0.5105533683964029,0.8053291309519839,0,0,1,0,1.0
정하종합건설주식회사,70949,2022,8.01,97.80120000000008,7.67,85.25,2268.008800000007,2092.6744000000003,2307.73,10.29,0.17,12.02,367.6960000000003,12.45,4.15,-31.29,-1.47,-17.11,0.73,-0.45,-7.44,10.39,-0.0096871580933149,-21.2528856654456,-25.6432,-77.18,474.6972000000016,1439.910400000004,21.08,272.2,0.62,66.9,6.94,-246.53,-1.81,0.090008911709803,2.11,0.27,10.56,0.09,0.06,0.2,0.27,20.0,0.2779912953513749,-2.7339804960591354,0.4372698065588749,-0.3847943288209778,1.0492106274777937,0,0,1,0,1.0
주식회사에스앤씨엔진,58479,2014,-5.36,-7.34,-6.45,-7.25,19.96,7.25,0.0,0.0,87.86,-64.0,0.0052,15.96,0.0,0.0,-3.93,-3.92,0.31,0.08,0.09,4.41,-3.103483331260115,0.0,-5.74,-20.42,-2.32,54.76,-3.28,1592.36,11.09,15.98,12.47,-31.45,43.13,0.0,18.11,16.11,1.26,1.0,0.86,1.05,4.94,17.0,0.1363628926938514,156.92248478338703,-0.0223078612647511,-0.4442363174439133,0.8003180636903146,0,0,1,0,1.0
세범산업주식회사,73993,2019,6.58,7.38,4.89,9.8,33.48,32.39,289.99,164.6,66.28,-28.08,15.22,14.13,25.64,2.38,0.61,1.16,0.49,0.49,0.95,4.55,0.2587720410222583,7.264312595953968,7.26,15.32,6.04,26.27,6.14,2002.64,10.15,12.06,20.33,5.72,94.1,0.4991241011118059,9.33,3.85,0.61,0.52,0.52,0.6,3.78,10.0,0.026559656055091,3.560564283424174,0.8167059439643886,-0.9063291360768632,3.1607163291867373,0,0,1,0,1.0
주식회사히든베이호텔,62354,2021,1.24,1.53,1.19,5.44,16.78,16.61,2974.76,2398.96,78.27,-64.93,12.05,13.09,3.25,-154.79,-2.94,-12.93,-0.88,-0.91,-4.03,10.54,3.239037017547462,5.710228267348056,5.71,154.32,-2.84,13.55,-2.9,3935.63,11.17,12.92,50.82,-25.44,25.72,0.2197737790805204,54.31,2.44,0.25,0.23,0.23,0.25,2.41,15.0,1.04029213447163,-24.81873976431073,0.3116183890413586,-0.6125554010319864,0.3351304842494489,0,0,1,0,1.0
라파바이오(주),54628,2014,3.4,4.43,3.22,13.5,59.11,44.32,1813.99,1268.65,72.62,-27.1,0.45,39.18,5.22,-237.43,-25.02,-76.22,0.74,0.73,3.07,22.34,-2.327448960473204,-1.6578671936715872,-1.66,-4.85,0.51,-2.19,32.51,-245.73,-0.92,-2.84,-3.85,0.0,0.0,0.2384844032452949,0.96,0.74,0.8,0.33,0.24,0.39,0.59,16.0,0.569661244169182,19.567208037776734,-0.0402537055642916,-0.3873720329347875,0.7640296844251606,0,0,1,0,1.0
(주)풍미사,78639,2018,2.08,2.24,2.03,4.32,23.47,22.26,4106.27,2355.96,90.62,-42.87,0.62,13.14,2.38,-163.95,-19.69,-46.06,-16.33,-16.54,-38.86,6.38,-1.1472058937340248,-17.1003329046494,-17.1,-36.63,-13.04,-22.24,-13.49,70.87,0.71,0.83,1.52,-2181.5531999999994,-343.77,0.4695630227703003,7.72,3.13,0.51,0.43,0.43,0.5,2.77,19.0,0.1780575072995212,0.5418370825752653,0.8438310124033787,-0.3400283895315727,0.443675483835191,0,0,1,0,1.0
주식회사윈플러스마트동부,88832,2022,-2.34,-2.89,-2.84,-0.95,88.18,57.94,0.0,0.0,98.3,-4.72,27.09,35.17,0.0,0.0,-8.36,-2.84,-4.63,-4.94,-1.68,1.13,-1.1427214096041245,0.0,-3.53,45.22,-18.4,-7.56,-16.55,7721.22,39.24,217.72,13.12,-21.69,15.62,0.0,60.71,16.76,15.1,2.94,2.94,4.15,10.07,5.0,0.2149586871882969,-11.7845274788331,0.5910898609503814,-2.5480590173327604,0.1806491252791223,0,0,1,0,1.0
주식회사이앰(EM),100462,2022,0.85,1.03,0.84,50.52,18.17,18.17,5339.92,5086.31,81.29,-76.51,1.9,16.99,1.84,0.0,-5.68,-220.8276,-0.71,-0.72,-37.81,127.66920000000005,7.7204709575482,0.0,33.15,646.41,13.98,0.0,113.42,413.86,1.9,6.84,114.96,-241.6,88.31,0.0,0.0,0.17,0.08,0.02,0.02,0.02,0.17,5.0,1.3780972222222223,-2.6448223928295924,0.1361325611003819,-0.2417310021117104,0.3200099632472766,0,0,1,0,1.0
주식회사태화기업,18628,2020,-8.18,-11.4,-6.79,-9.25,66.29,58.74,490.71,415.9,59.58,-23.73,4.91,46.68,16.93,3.45,0.86,0.78,1.57,0.5,0.67,0.95,0.0036353874847739,4.322490126075956,4.32,0.22,8.2,-37.1,2.8,1338.59,1.84,10.39,2.51,31.17,-34.28,0.7340908992194625,2.02,1.76,4.2,1.1,0.75,1.43,1.57,30.0,0.0754894144653105,12.222892773633223,-0.121582522224753,-0.2674844823966345,0.1884236528444194,0,0,1,0,1.0
대일광업주식회사,22754,2021,7.3,10.98,5.01,22.26,17.9,16.04,219.37,196.2,45.63,-50.43,2.28,11.0,31.31,16.66,4.79,21.39,4.67,4.5836000000000015,21.0,0.54,1.2254687375819795,-2.2557576449251946,-2.26,5.44,-3.13,-19.04,-5.03,3709.64,11.4,13.15,50.67,42.23,91.79,0.225087463471256,4.03,2.31,0.25,0.22,0.22,0.25,2.1,50.0,0.186774645542368,1.8895602040225568,0.9813751551272426,-0.0526372755075072,0.041555138255487,0,0,1,0,1.0
