,회사명,거래소코드,회계년도,부실판단,[U01410000]영업활동으로 인한 현금흐름(*)(천원),이자보상배율(이자비용)
21248,주식회사대흥웰텍,67509,2019,0.0,1078305.0,2.29
21249,(주)세계에프엘,67511,2022,0.0,3796116.0,277.91
21250,초정개발(주),67512,2015,0.0,14333689.0,6.35
21251,(주)태동건설,67514,2021,0.0,2149731.0,-829.78
21252,주식회사엠피파트너스,67526,2016,0.0,5721920.0,-9.92
21253,(주)오렌지링스,67531,2022,0.0,16357885.0,5747.25
21254,동신금속(주),67534,2022,0.0,1124978.0,0.99
21255,(주)성광테크,67535,2018,0.0,275635.0,-2.09
21256,(주)배관제일,67538,2022,0.0,2931998.0,15.11
21257,(주)서울시니어스엠엔에스,67540,2016,0.0,-97703.0,0.53
21258,간석목재산업(주),67543,2022,0.0,-8237717.0,2.05
21259,(주)드림셰프,67547,2022,0.0,468747.0,-0.9
21260,제이엔비아이주식회사,67551,2019,0.0,519100.0,999999999.0
21261,(주)케이피에스,67552,2014,0.0,1381424.0,5.24
21262,(주)한성,67554,2019,0.0,449411.0,0.26
21263,예강건설(주),67559,2015,0.0,268906.0,2.79
21264,한국상용트럭주식회사,67562,2022,0.0,2502669.0,1.72
21265,팜스틸(주),67563,2014,0.0,-252991.0,1.81
21266,동하코퍼레이션(주),67570,2022,0.0,430634.0,12.56
21267,주식회사고운개발,67571,2015,0.0,9793596.0,999999999.0
21268,(주)금한종합건설,67572,2018,0.0,511418.0,8.79
21269,주식회사디아이테크,67574,2015,0.0,-272122.0,1.42
21270,삼환환경(주),67579,2022,0.0,1949454.0,999999999.0
21271,케이에이브이원주식회사,67581,2014,0.0,10516994.0,-10.44
21272,온누리유통(주),67583,2014,0.0,3180685.0,4.22
21273,디비윤주식회사,67586,2019,0.0,-143394.0,0.0
21274,주식회사유진텔레콤,67588,2022,0.0,1192464.0,1.81
21275,(주)뉴세림,67589,2015,0.0,154643.0,1.05
21276,우신커뮤니케이션(주),67593,2021,0.0,2586832.0,1.81
21277,엔비엠주식회사,67594,2022,0.0,1294672.0,16.93
21278,(주)천우개발,67598,2018,0.0,754632.0,222.97
21279,(주)한라개발,67599,2022,0.0,5122345.0,22.88
21280,키맥스주식회사,67600,2022,0.0,5287748.0,999999999.0
21281,주식회사본성,67607,2018,0.0,-2181341.0,-4.62
21282,(주)드림메디,67608,2022,0.0,612944.0,2.09
21283,신창이엔지주식회사,67611,2022,0.0,2786080.0,1.61
21284,(주)송학건설,67613,2022,0.0,-1213652.0,2.27
21285,(주)대왕미래개발,67614,2014,0.0,-3279586.0,4.2
21286,주식회사한일월드,67617,2014,0.0,4608467.0,3.67
21287,주식회사미래시스템,67618,2022,0.0,6235671.0,425.83
21288,(주)와이즈아이티,67621,2022,0.0,-10160291.0,0.08
21289,주식회사나노아,67623,2017,0.0,-2146875.0,0.0
21290,(주)나우이엔씨,67624,2016,0.0,3333437.0,1.73
21291,주식회사아우토반브이에이지,67626,2022,0.0,3116942.0,1.5
21292,아이리얼주식회사,67629,2014,0.0,0.0,-1.57
21293,주식회사에스아이씨,67630,2022,0.0,823916.0,0.86
21294,(주)어플라이드케미칼세일,67633,2022,0.0,3219851.0,8.18
21295,(주)신양정밀,67634,2022,0.0,1452259.0,4.46
21296,(주)이스턴네트웍스,67639,2020,0.0,6781237.0,
21297,대양금속산업(주),67643,2014,0.0,13994.0,-0.12
21298,(주)한백,67645,2022,0.0,1660283.0,999999999.0
21299,주식회사유선기어,67650,2022,0.0,3295702.0,5.2
21300,머서코리아주식회사,67652,2022,0.0,4179675.0,999999999.0
21301,(주)효신로직스,67654,2019,0.0,-2982686.0,3.76
21302,(주)삼천리렌트카,67655,2019,0.0,2067704.0,2.66
21303,주식회사희,67656,2014,0.0,325643.0,999999999.0
21304,아름다운환경건설(주),67657,2022,0.0,5956928.0,469.8
21305,(주)세진,67660,2019,0.0,180345.0,1.14
21306,주식회사비바,67663,2022,0.0,252976.0,-4.79
21307,한국검정주식회사,67668,2022,0.0,646487.0,227.82
21308,주식회사신한메탈,67670,2022,0.0,1293878.0,11.28
21309,주식회사두코,67674,2022,0.0,,4.3
21310,주식회사두코,67674,2022,0.0,3061880.0,4.3
21311,(주)대일매스램,67677,2022,0.0,-855039.0,0.75
21312,강산종합건설(주),67678,2014,0.0,1368128.0,7.43
21313,그린웍스주식회사,67680,2022,0.0,3027089.0,1.82
21314,여수해상케이블카주식회사,67687,2022,0.0,10812826.0,102.04
21315,리연산업개발(주),67688,2014,0.0,6969970.0,999999999.0
21316,하이골드오션7호국제선박투자회사,67689,2017,0.0,522730.0,3.76
21317,모아씨엔씨(주),67690,2014,0.0,10083753.0,6.75
