회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)잉크테크,49550,2015,4,6,3,6,67,39,470,261,59,-15,4,31,18,-60.9,-16.2,-25.31,-3.23,-3.23,-5.56,3.54,-33.91,-8.95196715859405,-8.95,-5.91,-10.25,-9.84,-10.11,8947,7,14,12,-218,-54,0.6094567939877775,4.62,3,1,1,1,1,2,32.0,22.0,-2.600592969080898,2395.2579495458526,21872.103436966507,690.058608112592,0,0,1,0,1.0
한국정밀기계(주),101680,2014,11,21,3,9,383,148,34,26,14,55,28,74,75,-7.9,-6.69,-19.18,-7.42,-8.18,-26.21,-0.99,-5.550000000000001,-6.96422455311321,-6.96,-9.32,0.37,24.32,-6.95,4806,3,29,8,-239,-278,0.3236364247680574,2.95,1,4,0,0,1,0,36.0,15.0,-4.288856304985337,355.98300039506603,9522.381763382078,822.7386973335755,0,0,1,0,1.0
성우테크론(주),45300,2014,9,13,4,9,76,76,75,62,29,-9,16,27,57,-3.33,-1.99,-4.79,1.9,1.05,2.67,0.73,-5.62,-3.6677610306308512,-3.67,-11.18,-0.55,-5.55,-0.4,11796,20,30,51,-9,17,0.3998547440973661,9.15,1,1,0,0,1,1,27.0,23.0,-13.308823529411764,415.2309879284744,8357.51643287849,593.8319849762809,0,0,1,0,1.0
씨비아이(주),13720,2018,14,22,6,9,324,192,68,17,26,23,67,33,60,0.6,0.37,0.57,0.36,0.31,0.5,0.85,3.36,5.327360546771484,5.33,23.05,-1.66,-1.74,-1.04,7363,21,33,34,2,31,0.6074617398075275,5.23,3,1,1,1,1,2,45.0,31.0,143.4375,877.9405106170053,11539.841644621203,860.2731606194535,0,0,1,0,1.0
(주)케이엠,83550,2022,10,15,3,3,222,127,39,32,18,28,44,51,72,5.91,4.79,5.07,4.09,3.79,4.56,0.15,-0.33,2.675165567138719,2.68,1.6,3.83,5.87,1.76,38938,21,54,26,20,41,0.8207580382580383,6.86,3,2,1,1,2,2,35.0,19.0,13.225108225108226,516.8477004101267,5634.835726174062,453.3336639223645,0,1,0,0,0.0
(주)슈프리마,236200,2022,153,4465,9,20,994,815,7,6,0,54,293,60,94,10.27,15.05,19.99,11.87,9.67,19.98,-4.54,-3.370000000000001,10.26786139268837,10.27,40.91,-16.97,23.18,5.32,30381,16,288,34,59,61,0.4613158649253935,6.82,1,9,1,0,1,1,9.0,8.0,7.762638938687702,856.6270857141386,8254.729398697991,1742.0509887504109,0,1,0,0,0.0
메디앙스(주),14100,2022,15,34,5,8,124,80,44,31,14,5,31,27,70,-13.47,-15.94,-16.42,1.51,1.25,2.25,0.35,-18.31,-17.252811432856817,-17.25,-22.67,-15.11,-0.14,-1.6,-6503,-6,-18,-9,0,0,0.6136615996644426,12.92,3,2,1,1,1,2,45.0,29.0,-9.08682634730539,442.3274340038773,16097.23515726414,501.4280752229761,0,1,0,0,0.0
(주)신화콘텍,187270,2022,21,27,8,16,157,119,62,54,29,19,33,53,62,8.59,5.79,10.36,4.94,4.31,8.79,1.04,1.3499999999999996,1.4475261690133998,1.45,16.61,-11.38,2.44,6.95,15983,17,46,36,29,61,0.4864527253968124,4.52,1,1,1,0,1,1,22.0,10.0,10.481012658227847,734.487880863426,4719.774853952335,934.3281081316312,0,1,0,0,0.0
(주)프럼파스트,35200,2022,17,285,2,2,828,704,11,9,1,61,125,70,90,3.62,3.41,4.38,4.46,3.75,5.06,-0.93,-2.26,0.1658367746351128,0.17,2.07,-3.92,2.25,-1.61,4573,11,66,15,29,38,0.7411788567919726,3.45,1,4,1,1,2,1,32.0,22.0,22.98076923076923,947.1647830031156,275035.7957188473,1154.0409868532115,0,1,0,0,0.0
(주)코엔텍,29960,2022,115,385,21,48,532,531,22,11,5,38,339,47,82,24.29,21.4,43.84,25.01,24.04,53.57,-1.71,4.969999999999999,7.259836366866769,7.26,7.18,7.33,21.85,7.72,65457,31,71,73,60,86,0.4335597010619657,9.0,1,1,0,0,1,1,31.0,20.0,9.349693251533742,2234.4300035038327,7711.667512082675,4219.903677431184,0,1,0,0,0.0
제이엠아이(주),33050,2022,10,28,5,6,133,112,102,90,17,15,22,59,49,6.18,3.1,3.82,5.82,5.65,7.28,0.82,1.0999999999999996,4.2883687293314825,4.29,7.95,-0.66,34.13,1.08,19592,23,65,30,13,34,0.7596502917942106,4.34,2,2,1,1,2,1,31.0,27.0,68.23529411764706,894.8798445251969,5627.345477460264,582.0832408106,0,1,0,0,0.0
(주)비엘헬스케어,86220,2022,4,6,3,3,58,36,216,144,53,-19,9,26,32,4.08,1.24,1.1,2.78,2.68,2.45,1.37,1.41,-8.126822382314112,-8.13,-22.56,-1.57,10.63,-1.2,17341,31,44,27,4,25,1.144806894444676,8.26,5,2,1,1,2,4,32.0,9.0,33.25757575757576,1315291.492406211,26677739.85632184,363121.4493014378,0,1,0,0,0.0
(주)소룩스,290690,2022,19,46,7,8,124,113,58,55,15,8,19,43,63,-9.49,-7.75,-7.75,-5.43,-6.07,-7.73,-0.23,-18.630000000000003,-7.404345682808901,-7.4,15.87,-19.74,-20.16,-4.2,5589,8,34,10,-77,-63,0.8170691364548468,3.27,2,3,1,1,1,2,28.0,4.0,-12.19047619047619,1219.3035203499232,3370.9122140735303,945.3899947424062,0,1,0,0,0.0
한솔인티큐브(주),70590,2022,-32,-1312,-14,-9,178,170,71,61,1,28,25,63,58,-18.72,-13.81,-9.82,-8.45,-8.97,-6.72,-0.16,-19.97,-18.402076036522217,-18.4,-22.4,-10.47,-0.53,-35.42,15416,39,609,26,-38,-31,1.485498848677246,4.89,2,18,1,1,4,2,21.0,20.0,-5.288461538461538,984.3615836776196,-9277.051872184373,387.19443603594976,0,1,0,0,0.0
(주)코메론,49430,2022,102,303,6,16,747,548,7,5,2,33,188,38,94,8.45,13.39,19.12,8.29,7.53,18.54,-1.74,-3.5200000000000014,3.94387725483638,3.94,-14.76,20.41,6.29,64.16,33033,16,78,40,48,65,0.3981834158456881,7.5,1,2,1,0,1,1,41.0,23.0,4.53796889295517,461.4352368501988,3807.907941075025,1085.1867019913918,0,1,0,0,0.0
피에스케이(주),319660,2022,67,534,17,17,380,264,34,29,3,60,55,81,75,24.11,19.37,16.8,21.8,20.73,19.93,-0.98,-6.190000000000001,14.370324557470193,14.37,19.55,-3.69,3.39,19.81,194856,41,624,42,40,53,0.975160995675991,8.64,2,11,1,1,5,1,5.0,5.0,6.473308112652375,1262.6037456695162,9637.944742357991,967.8422444858072,0,1,0,0,0.0
(주)스페코,13810,2022,30,53,12,34,250,213,69,44,23,39,108,65,59,1.58,0.87,1.97,-1.84,-4.15,-12.12,-4.51,-2.26,-10.574480840594202,-10.57,-11.74,-8.32,-42.81,-6.49,5732,7,63,18,11,-9,0.3623163955045637,3.54,1,3,0,0,1,1,45.0,27.0,42.407407407407405,1322.982988638344,7834.856340652685,2159.682900548196,0,1,0,0,0.0
국일신동(주),60480,2022,84,0,7,13,1508,1123,9,3,0,36,240,38,92,2.11,2.01,3.74,1.36,0.73,1.43,-1.18,0.2699999999999998,-1.5435819442417278,-1.54,-13.81,7.95,-4.46,-0.06,4672,9,17,17,22,32,0.5149593166398458,4.52,2,1,1,1,1,1,31.0,10.0,27.747252747252748,584.0080534913399,5397.215684513375,1041.6288099115814,0,1,0,0,0.0
(주)케이비지,318000,2022,29,61,6,10,344,257,23,22,9,43,23,61,81,9.77,8.69,13.36,10.12,9.65,16.86,0.44,-3.630000000000001,2.5570185934577507,2.56,-1.6,9.75,-10.5,19.66,7850,18,72,32,41,61,0.565215230218324,2.98,1,2,1,1,2,1,23.0,5.0,14.335839598997492,1347.0740444048606,28195.963465626388,1933.5526258771963,0,1,0,0,0.0
(주)매커스,93520,2022,11,3541,7,11,142,119,207,206,0,28,21,96,33,25.56,10.61,11.48,14.79,14.58,16.23,-0.2,-11.099999999999998,97.66615301261908,97.67,101.51,39.81,37.69,17.54,39757,14,816,21,56,72,0.6761735232681334,9.33,1,43,1,1,18,1,18.0,17.0,3.997975708502024,1367.7201576446244,4812.720589199744,658.9911553565063,0,1,0,0,0.0
(주)비아트론,141000,2022,46,5022,6,17,425,409,15,15,0,41,53,54,87,9.85,9.47,22.38,7.67,7.25,19.68,-1.11,0.6799999999999997,3.0189118350423367,3.02,22.02,-12.81,-11.13,0.82,30444,16,94,43,52,62,0.3631307692668983,11.63,1,2,0,0,1,1,23.0,12.0,6.213102951763859,617.1067611053568,26783.10014988809,1473.0522365016077,0,1,0,0,0.0
(주)위드텍,348350,2022,42,129,11,22,311,273,35,35,8,54,85,80,74,11.72,9.72,16.87,11.77,10.6,19.91,-1.84,0.1100000000000012,17.78639318064673,17.79,15.0,30.09,6.29,1.83,35064,24,249,48,35,41,0.4920129193907335,10.66,1,5,1,1,3,1,21.0,4.0,9.582623509369675,1045.69895805154,5009.529937041505,1577.9079363843296,0,1,0,0,0.0
(주)이랜시스,264850,2022,36,75,11,8,186,135,44,35,15,21,29,45,70,12.98,9.95,6.26,8.87,8.8,6.62,0.35,-3.899999999999999,-2.4293523630486824,-2.43,-14.92,10.95,5.51,-4.32,17867,29,71,22,29,48,1.3461176781780546,6.2,4,3,2,1,3,3,7.0,7.0,25.53191489361702,1645.1966219272715,11100.223551607429,850.5409280157282,0,1,0,0,0.0
(주)케이씨피드,25880,2022,8,9,3,3,148,105,59,56,32,17,22,52,63,7.16,5.45,4.77,6.34,5.06,5.5,-0.5,0.0700000000000002,2.0863992862278447,2.09,-2.73,7.79,16.81,12.55,15490,16,58,18,27,45,0.909992661941636,5.78,2,3,1,1,2,2,54.0,29.0,9.941634241245136,700.2285212541707,50470.40682140202,482.7109297797216,0,1,0,0,0.0
