회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사이노하나,95485,2022,-4.02,-5.07,-3.15,-4.16,67.1,45.23,365.15,241.82,62.17,-17.11,1.84,34.88,21.5,1.0,0.21,0.28,-1.86,-1.87,-2.54,1.91,0.0,0.0,-5.45,-2.7,-6.86,-6.81,-7.09,1463.5,8.51,13.61,11.22,2.51,58.19,0.0,3.55,3.25,1.16,0.74,0.74,1.12,2.14,16.0,0,0,0,1,1.0
(주)디딤돌교육,17711,2018,-6.05,-11.5,-4.03,-6.91,204.64,157.98,199.14,136.55,35.0,47.77,0.63,93.41,33.43,-10.64,-3.65,-6.44,0.6,0.55,0.98,4.71,15.579999999999998,-8.90308200153501,-8.9,-8.19,-17.97,-8.21,-61.33,2121.99,8.04,12810.84,13.79,-46.69,14.4,0.5830037683126701,0.85,0.76,517.93,0.57,0.56,7.98,0.6,29.0,0,0,0,1,1.0
(주)우진이노베이션,88016,2019,-13.57,-17.27,-12.58,-29.31,107.78,39.7,1263.59,1260.19,72.82,7.19,4.42,99.6,7.33,323.91,8.46,17.05,13.52,13.52,27.25,7.65,323.91,37.13853703714162,37.14,36.98,93.2,630.76,155.74,5388.67,13.87,4418.24,32.32,52.76,85.72,0.4291541560399689,2.53,1.79,196.57,0.5,0.5,142.73,0.5,7.0,0,0,0,1,1.0
주식회사삼호에너지,14293,2014,-21.03,-27.96,-10.21,-6.86,95.83,93.41,94.38,84.45,36.52,-1.81,24.46,41.63,51.44,35.51,17.81,12.71,-1.98,-3.57,-2.65,-0.09,46.53,-17.193310183688272,-17.19,28.79,-34.0,-31.66,-34.45,11115.52,27.63,48.43,18.56,68.49,85.47,1.4885791848041865,31.65,4.13,2.07,1.4,1.35,2.03,4.03,51.0,0,0,0,1,1.0
배운아이엔티주식회사,70398,2016,-4.51,-4.88,-3.87,-16.65,33.56,25.02,608.87,115.93,79.41,-10.87,1.05,5.49,14.11,-61.9,-12.18,-54.36,-9.98,-10.01,-45.66,10.06,-16.759999999999998,-10.802945499568304,-10.8,-37.25,-8.56,-14.22,-8.53,818.72,2.78,3.01,11.96,-454.7,-65.67,0.2326086788895384,9.05,4.11,0.24,0.22,0.22,0.24,3.27,14.0,0,0,0,1,1.0
주식회사팔용,49325,2016,-8.01,-16.15,-5.27,-180.66,15.35,15.33,192.39,104.07,32.61,-30.13,0.38,5.46,34.2,-31.57,-11.85,-439.65,-11.06,-11.07,-419.25,31.84,-1.9499999999999995,-17.23543159754576,-17.24,-76.46,-3.15,-75.53,-3.75,-599.08,-4.38,-5.09,-150.04,0.0,0.0,0.0291606885216328,7.45,0.2,0.03,0.03,0.03,0.03,0.2,19.0,0,0,0,1,1.0
(주)엠엘씨,41023,2014,-26.49,-35.23,-9.08,-56.01,12.07,12.07,52.13,47.99,25.77,-27.74,6.57,3.81,65.73,2.37,1.53,9.54,-3.34,-3.39,-21.36,6.69,-64.3,-4.235594427167799,-4.24,-4.1,-4.24,-4.46,-1.93,1006.42,8.6,9.42,53.07,17.97,59.47,0.1620768448634019,79.88,4.17,0.18,0.16,0.16,0.16,4.17,23.0,0,0,0,1,1.0
(주)아름다운사람,67041,2020,-8.59,-9.73,-7.0,-10.99,39.19,35.9,438.81,351.49,71.91,-39.67,13.57,25.57,18.56,-82.64,-23.17,-41.04,-20.19,-20.32,-36.09,2.51,-47.25,-20.73175026804856,-20.73,-47.48,-3.93,-34.97,-3.82,-1734.91,-14.91,-20.53,-23.41,0.0,0.0,0.6368388942606377,13.38,2.75,0.86,0.56,0.56,0.84,1.72,26.0,0,0,0,1,1.0
(주)브릿지헤드,41694,2014,-52.9,0.0,-50.73,-674.97,83.19,83.19,2341.6,2338.02,0.0,-16.1,5.28,79.66,4.1,1323.6,79.68,5095.66,-9.66,-14.59,-1188.32,-341.86,1310.89,-91.10870351319716,-91.11,-84.77,-96.62,-89.08,-99.04,26414.45,484.36,14289.51,6444.48,79.07,99.49,0.0751594178714883,0.44,0.02,0.04,0.02,0.01,0.02,0.02,22.0,0,0,0,1,1.0
(주)제이에이치페리,96682,2022,-1.0,-2.15,-1.75,-4.64,4.71,4.71,0.0,0.0,81.12,-165.54,0.03,8.19,0.0,0.0,173.72,84.7,-2.58,-2.63,-8.15,4.26,0.0,-24.89433856528189,-24.89,-68.46,-14.34,-30.58,-61.19,4037.31,41.47,9848.82,110.25,76.83,83.16,0.3761483580445744,11.63,2.21,49.95,2.05,0.32,0.38,2.2,17.0,0,0,0,1,1.0
주식회사아이리시스,89346,2022,-40.81,-120.84,-94.15,-176.25,42.68,21.55,0.0,0.0,77.91,-115.4,3.06,85.92,0.0,0.0,13.19,38.88,-62.88,-62.89,-185.41,35.04,0.0,0.0,-53.48,-47.08,-73.24,-63.2,-92.61,2055.23,85.13,2792.96,159.35,24.4,55.28,0.0,1.6,0.65,2.41,0.34,0.34,1.6,0.43,12.0,0,0,0,1,1.0
