회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
주)에스엠케이인터내셔날,44046,2022,15.93,21.61,5.77,6.63,158.48,136.81,56.84,54.62,26.71,20.36,48.43,55.19,63.76,1.04,0.9,0.76,2.2,1.94,2.12,1.03,-0.2299999999999999,10.934995143403146,10.93,3.97,20.91,15.95,47.12,2069.34,5.65,37.18,6.48,11.68,46.14,0.8705518928589424,7.33,1.79,4.23,1.18,0.92,2.13,1.61,28.0,1,0,0,0,0.0
디앤씨리치주식회사,78563,2022,2.44,2.47,2.42,51.47,100.68,100.68,13851.97,13847.02,98.05,0.67,4.23,99.92,0.72,27.33,0.25,3.67,6.16,1.92,28.15,11.55,91.03,162.97924296882255,162.98,162.77,66555.73,-63.58,0.0,1006.91,1.36,0.0,28.97,12.66,69.95,0.0469924964532179,2.57,0.07,0.0,0.07,0.07,115.69,0.07,9.0,1,0,0,0,0.0
장우기계(주),39951,2022,-9.92,-15.28,-5.6,-3.77,128.12,110.33,129.88,122.21,36.68,14.95,30.08,68.11,43.5,4.15,1.92,1.19,0.94,0.78,0.51,0.54,-10.04,3.370713958369409,3.37,4.1,1.85,-9.63,-0.97,2408.54,14.26,91.87,9.59,12.39,38.88,1.4878552493881807,4.0,2.64,9.12,1.62,1.51,4.71,2.23,30.0,1,0,0,0,0.0
주식회사삼호도시개발,86699,2020,262.22,302.53,79.86,116.37,2881.31,2145.68,43.79,4.24,26.4,82.1,50.63,85.05,69.55,18.28,4.77,16.98,5.59,4.96,17.64,-1.23,-83.42999999999999,-74.23296204778521,-74.23,-78.06,3646.58,-89.89,11076.4,964.22,18.31,123.14,26.68,63.62,84.26,0.6862218631871152,0.92,0.36,9.15,0.28,0.28,8.94,0.29,10.0,1,0,0,0,0.0
(주)대현상공,46378,2022,14.82,24.88,2.38,3.13,495.32,232.87,19.16,9.85,9.57,32.68,23.83,40.94,83.92,11.15,16.93,11.71,10.45,8.94,11.14,-1.58,-0.4900000000000002,11.598343101693825,11.6,11.14,11.92,-7.34,36.78,6660.58,16.4,147.6,21.56,54.29,66.73,0.7605882335415162,6.69,3.56,4.11,1.45,0.8,1.36,1.96,43.0,1,0,0,0,0.0
주)진우에스엠씨,88707,2022,1.85,2.35,1.3,1.73,87.29,18.42,237.71,118.2,55.51,-4.45,3.44,30.55,29.61,3.28,1.0,1.27,2.96,2.86,3.72,2.32,0.0599999999999996,4.211108006594169,4.21,39.57,-6.24,-0.62,-2.31,4405.27,14.26,28.85,18.93,6.73,64.79,0.7533349157662007,38.16,10.38,1.51,0.79,0.77,1.05,2.87,17.0,1,0,0,0,0.0
주식회사모노글로트홀딩스,92930,2022,-6.72,-8.33,-5.45,-6.06,140.96,17.63,428.2,168.96,65.47,13.1,0.13,45.09,18.93,2.24,0.56,0.47,4.41,4.32,3.77,1.98,-28.39,76.03610198049215,76.04,8.72,258.1,-7.91,591.66,2903.01,8.02,14.97,8.91,5.23,56.01,0.8995147138319896,27.31,15.36,2.94,1.19,1.15,2.56,2.08,8.0,1,0,0,0,0.0
주식회사루첸리,59361,2022,-6.12,-11.15,-3.92,-4.27,161.52,29.22,178.52,170.31,35.15,37.62,0.45,98.77,35.9,1.66,0.61,0.64,2.48,2.48,2.6,1.93,-0.74,7.911799165572357,7.91,8.69,-31.32,-3.37,-29.54,4313.17,31.22,2577.47,34.02,1.89,75.24,0.917672456351517,9.55,6.12,62.63,0.95,0.95,60.6,0.97,21.0,1,0,0,0,0.0
(주)원지팜,99636,2022,-4.57,-17.71,-3.95,-0.43,115.49,88.07,643.61,636.02,22.31,13.25,4.25,98.78,13.45,22.23,2.83,0.29,3.88,3.88,0.4,0.05,0.25,10.73489858757544,10.73,10.35,54.56,12.18,-45.1,1387.54,13.88,31119.7,1.5,19.38,32.25,9.282021905031645,15.59,13.04,14750.03,9.75,9.75,926.67,9.86,4.0,1,0,0,0,0.0
주식회사데이먼인더스트리,98711,2022,-0.34,-0.43,-0.27,-0.48,103.24,30.25,384.33,162.39,63.63,1.09,5.77,34.62,20.65,3.66,0.76,1.25,2.52,2.52,4.2,2.82,2.0200000000000005,13.48448554335989,13.48,37.23,3.96,3.01,4.52,1277.28,7.84,12.78,13.89,8.98,80.5,0.5643629902431431,8.13,6.29,0.89,0.61,0.6,0.88,1.89,10.0,1,0,0,0,0.0
(주)미래인베스트먼트개발,90711,2022,-532.81,0.0,-9.16,-11.57,7221.52,3556.21,1.75,1.37,0.0,95.58,54.99,96.92,98.28,4.64,1.39,6.77,2.6,2.51,12.24,5.32,-121.47,-85.11443635376055,-85.11,-85.56,433.71,-89.61,-15.79,480.39,10.66,3565.34,13.46,50.28,99.71,0.7914194367983631,0.32,0.25,242.1,0.21,0.21,43.31,0.21,6.0,1,0,0,0,0.0
주식회사진영케미칼,67108,2022,4.97,5.35,3.49,3.04,88.71,71.05,234.86,127.27,65.14,-4.29,3.69,33.71,29.86,-8.85,-5.7,-2.41,-2.21,-2.29,-1.85,1.61,-23.76,18.59455091913563,18.59,35.93,11.37,13.35,-14.12,3415.38,6.61,38.94,5.77,-41.82,47.45,1.146004460389093,6.56,4.87,6.23,2.36,1.24,1.82,3.92,24.0,1,0,0,0,0.0
(주)신진스틸,50401,2022,-1.92,-2.4,-1.26,-1.02,99.45,84.86,191.73,146.91,52.63,-0.28,0.59,50.08,34.28,5.36,2.24,1.47,2.4,2.26,1.79,1.48,-20.38,3.215736993042224,3.22,-0.75,7.53,6.84,6.69,3616.18,8.04,25.35,6.48,22.62,70.45,1.2409058095047605,5.04,2.89,4.04,1.53,1.26,2.58,2.47,29.0,1,0,0,0,0.0
범한테크(주),76536,2022,-2.82,-6.54,-2.29,-1.57,127.01,119.21,425.29,288.96,34.94,14.86,3.7,69.87,19.04,6.02,1.09,0.76,1.06,0.99,0.7,0.6,-7.09,-5.769171307904816,-5.77,-10.88,8.68,4.65,9.22,1007.97,8.7,29.75,5.97,12.77,38.52,1.4589843208627242,2.47,2.05,5.21,1.43,1.42,5.04,1.97,13.0,1,0,0,0,0.0
(주)캐스트윈,29026,2022,-2.01,-4.09,-0.41,-0.74,224.44,191.29,25.78,23.95,10.05,23.69,13.95,42.73,79.5,1.15,1.05,1.63,4.05,3.58,6.39,-0.3,-7.949999999999999,5.711092102736535,1.73,-27.52,45.55,-20.65,-0.7,3524.7,6.25,20.19,11.25,14.52,34.81,0.760680309446266,5.0,1.24,1.79,0.64,0.56,1.15,1.09,30.0,1,0,0,0,0.0
(주)현대기아남구정비서비스,69871,2022,2.06,2.54,0.98,4.73,16.14,2.77,90.47,73.02,38.43,-32.15,0.6,6.19,52.5,0.52,0.27,1.32,1.06,1.06,5.14,5.97,-0.8899999999999999,-0.2161456477954297,-0.22,4.06,-0.49,1.66,-0.49,1194.21,5.88,6.26,28.43,4.63,45.58,0.206674954286949,93.03,17.1,0.22,0.21,0.21,0.22,3.41,38.0,1,0,0,0,0.0
(주)태림,47223,2014,-4.32,-5.05,-3.13,-2.04,72.71,28.21,262.62,258.46,61.88,-19.45,1.45,51.83,27.58,6.04,1.49,1.05,4.68,4.2,2.99,1.86,-37.95,-15.800206393183023,-15.8,-28.06,3.1,-42.63,-3.48,2148.27,8.82,23.66,5.74,18.35,66.32,1.536356778824684,7.92,4.67,4.05,1.41,1.4,3.24,2.48,26.0,1,0,0,0,0.0
씨티전기주식회사,67195,2022,-6.43,-7.3,-2.63,-3.45,97.12,75.6,69.14,68.6,36.01,-1.17,11.81,39.39,59.12,0.63,0.44,0.5,5.1,4.95,6.77,0.98,-7.729999999999999,-8.02966721795026,-8.03,-24.04,6.56,-9.61,0.42,1799.14,6.91,16.63,9.06,5.55,46.48,0.7630648757492875,4.94,2.11,1.84,0.88,0.73,1.3,1.67,27.0,1,0,0,0,0.0
(주)해동종합건설,77620,2018,-121.5,-2823.84,-26.18,-102.93,514.27,514.27,27.46,23.68,0.93,76.95,47.87,95.53,78.45,0.78,0.57,2.4,0.24,0.11,0.49,-0.02,-1.7499999999999998,-16.245874466113417,-16.25,-17.44,21.28,-72.9,-58.33,577.91,5.15,5139.73,20.25,11.86,24.26,0.2543304730475401,0.76,0.24,149.28,0.24,0.23,6.24,0.24,15.0,1,0,0,0,0.0
(주)지앤에스메탈,76288,2022,-1.99,-2.15,-1.42,-0.36,62.04,20.58,247.08,224.63,65.98,-24.57,0.46,40.15,28.81,7.21,2.08,0.51,6.15,6.07,1.48,0.69,-13.59,7.82497284497982,7.82,37.06,-5.68,-12.81,-5.8,1407.52,11.6,19.84,2.94,17.29,79.28,3.9479121276465294,174.02,25.45,6.55,4.1,4.1,6.4,11.37,15.0,1,0,0,0,0.0
주식회사성도기계,91837,2022,-1.01,-1.43,-0.6,-0.62,44.57,29.01,144.79,144.79,41.78,-32.79,6.81,26.36,40.85,-5.42,-3.76,-2.36,-3.52,-3.53,-3.6,1.53,-17.93,2.0170493010355792,2.02,-8.28,6.29,-9.49,-1.92,1943.49,7.93,24.32,8.19,-28.83,7.14,0.9683511457717032,7.02,5.22,2.94,1.59,0.98,1.36,3.51,34.0,1,0,0,0,0.0
하이덱스스토리지(주),101375,2022,-2.65,-2.87,-2.77,-8.29,18.1,14.82,0.0,0.0,96.37,-24.45,5.82,5.4,0.0,0.0,-10.68,-32.95,-11.65,-11.65,-35.95,11.3,120.02,-5.791130817507789,-5.79,-16.32,-5.11,127.67,-5.26,14.88,0.02,0.02,0.06,-58129.42,-10103.23,0.3339573645805334,16.63,7.01,0.35,0.32,0.32,0.34,5.63,25.0,1,0,0,0,0.0
주식회사리우,95336,2022,-29.06,-29.89,-24.45,-207.95,157.45,60.02,530.02,390.31,81.79,35.59,1.31,97.54,15.87,9.74,1.5,12.54,2.87,2.85,23.94,8.6,-54.88,2.335412249497732,2.34,2.27,4.96,-82.4,-1.78,1805.09,3.43,187.58,29.2,42.93,86.76,0.1175748894727752,0.61,0.22,6.37,0.12,0.12,4.9,0.12,6.0,1,0,0,0,0.0
(주)승우,73143,2017,-0.36,-0.51,-0.19,-0.25,66.03,66.03,118.64,88.73,37.49,-13.79,0.09,26.8,45.74,-12.94,-10.57,-8.27,-8.42,-10.22,-13.58,-1.45,-11.81,-8.464695294098682,-8.46,-12.87,-6.74,-14.1,-7.25,1311.6,11.79,39.73,14.96,-55.29,-12.38,0.7875728559440197,9.9,2.74,2.56,1.28,0.75,1.04,2.74,20.0,1,0,0,0,0.0
(주)그랜드농산,78596,2018,-2.55,-2.92,-2.0,-1.49,113.7,29.77,362.04,173.62,68.3,5.15,0.66,42.73,21.64,11.34,2.51,1.74,6.2,6.2,4.31,2.2,4.06,16.464028395398667,16.46,21.14,13.2,38.71,13.05,3600.75,17.43,30.97,13.03,13.33,54.46,1.3369172138837908,12.74,10.96,2.52,1.44,1.44,2.48,3.43,21.0,1,0,0,0,0.0
(주)평화유통,61870,2019,-0.9,-1.3,-0.77,-0.83,66.34,13.68,587.15,310.96,59.47,-15.23,0.03,30.02,14.55,-67.51,-12.33,-9.51,-8.65,-8.81,-9.21,1.26,25.50999999999999,6.764214777290818,6.76,-15.28,20.18,-20.92,29.6,962.48,7.27,17.43,7.85,-121.08,-42.35,0.9260492667397712,15.73,14.19,2.12,1.3,0.96,1.44,2.83,24.0,1,0,0,0,0.0
조일성업전기(주),17394,2022,-6.74,-91.02,-1.96,-2.04,344.06,295.99,40.91,35.33,2.15,61.18,10.47,86.25,70.96,3.78,2.84,2.75,2.85,1.96,1.91,-0.87,5.06,14.69439822622788,14.69,17.64,-0.88,38.63,-1.93,2101.52,7.21,57.04,7.52,36.53,41.82,0.9589873907091924,3.51,1.4,7.51,1.03,1.02,6.94,1.2,50.0,1,0,0,0,0.0
주식회사이수씨엔피,64516,2022,-1.69,-2.65,-1.64,-1.59,58.99,37.07,3320.05,1691.14,62.05,-20.28,3.1,29.17,2.92,-119.0,-7.62,-6.91,-5.07,-5.07,-4.73,2.1,0.0,0.0,7.69,-19.86,25.45,-4.58,21.98,303.57,2.28,3.72,2.21,-312.45,-154.05,0.0,5.91,4.84,1.85,1.1,1.07,1.62,3.15,18.0,1,0,0,0,0.0
정운이엔에이주식회사,81621,2021,-4.53,-7.36,-1.77,-7.46,258.69,197.32,64.27,61.13,24.11,59.05,0.07,96.26,60.88,-1.16,-0.7,-3.0,2.67,2.12,9.31,6.08,-218.61,-8.072857888185885,-8.07,-8.21,-4.26,-88.05,-89.46,2152.25,12.1,126681.45,50.86,-5.9,41.43,0.2378030975196958,0.0,0.31,475.13,0.23,0.23,6.23,0.24,10.0,1,0,0,0,0.0
한우철강산업주식회사,40968,2014,-16.0,-22.93,-11.58,-15.66,134.8,134.14,261.92,261.22,50.52,25.11,0.92,97.29,27.63,4.17,1.3,1.53,6.57,4.6,5.55,2.07,2.92,27.319227621668148,27.32,29.01,-13.48,-9.7,-44.99,971.27,4.75,5588.44,6.43,23.75,71.7,0.7394065086493039,1.6,0.86,617.32,0.85,0.83,25.32,0.86,24.0,1,0,0,0,0.0
영진알루미늄(주),86297,2022,-0.6,-0.8,-0.4,-0.84,60.74,36.15,203.35,169.72,50.01,-21.96,0.55,33.98,32.96,2.01,0.66,1.38,3.28,2.76,5.74,2.11,-0.4600000000000004,2.0863933118999776,2.09,8.87,-1.09,1.4,-1.19,1381.67,6.63,10.08,13.92,9.88,45.52,0.476108689151205,6.57,2.33,0.72,0.48,0.48,0.72,1.46,35.0,1,0,0,0,0.0
(주)엔에스엠,70525,2018,1.71,2.72,0.74,1.29,197.63,180.61,75.5,31.11,27.16,17.3,47.25,35.03,56.98,4.64,2.55,2.92,3.36,3.31,5.5,3.46,69.57000000000001,-2.193050603952766,9.78,24.42,3.24,-14.34,-7.44,2985.67,7.67,23.71,13.37,21.83,83.67,1.0703305712371132,2.97,2.04,1.7,0.87,0.6,0.9,1.82,14.0,1,0,0,0,0.0
(주)진산,99504,2022,3.27,4.83,3.05,4.83,107.66,91.79,1435.82,1417.11,63.19,7.07,24.89,99.34,6.51,146.78,6.54,8.72,12.88,12.57,16.74,5.25,146.78,46.04359193808132,46.04,46.75,-15.49,33.08,-19.39,7931.75,11.89,2370.01,18.8,46.36,91.26,0.6322430151759252,2.14,0.98,112.5,0.75,0.75,87.98,0.76,7.0,1,0,0,0,0.0
아리온주식회사,71381,2020,-0.36,-0.43,-0.32,-0.41,68.14,36.67,791.95,471.13,75.64,-16.83,1.34,35.99,11.21,-89.82,-18.91,-22.97,1.04,1.02,1.37,4.62,-92.73,-12.03289905469325,-12.03,-34.23,8.57,-35.93,-1.25,-728.36,-7.76,-18.01,-9.75,0.0,0.0,0.7956012773735262,4.0,2.89,1.84,0.82,0.74,1.29,1.75,16.0,1,0,0,0,0.0
(주)에스비정보기술,96460,2022,-0.95,-1.81,-0.69,-0.55,130.16,61.56,263.81,236.22,38.12,19.58,9.06,84.51,27.49,14.53,4.92,3.27,2.37,2.11,1.45,0.61,-33.92,37.66318549749119,37.66,39.37,29.03,-6.22,32.89,1926.92,11.09,103.97,8.82,37.11,57.67,1.2562940076857452,4.56,3.23,10.0,1.5,1.46,9.14,1.73,10.0,1,0,0,0,0.0
(주)신영피에스,85311,2022,0.28,0.39,0.27,0.26,65.1,51.58,1618.58,375.69,68.11,-7.63,16.53,14.23,5.82,16.82,0.9,0.87,2.66,2.65,2.58,1.36,-8.620000000000001,-2.6470023607394144,-2.65,-27.01,3.06,88.12,2.85,1234.96,9.16,10.79,8.81,9.85,62.38,1.0400109294587714,13.16,7.33,1.24,1.03,1.03,1.23,6.17,7.0,1,0,0,0,0.0
주식회사한창선박,64661,2019,-5.97,-6.31,-2.73,-11.16,18.81,18.81,84.42,84.42,43.3,-37.17,2.76,8.61,54.22,-18.07,-10.51,-44.03,-10.0,-10.0,-42.27,1.69,3.2399999999999984,-6.300541154043919,-6.3,5.26,-7.26,-0.93,-7.61,640.44,5.36,5.97,21.9,-201.08,-48.03,0.2446469002857763,3.95,2.91,0.26,0.24,0.24,0.26,2.91,19.0,1,0,0,0,0.0
(주)에스디페이퍼,61943,2022,1.93,3.91,1.09,0.68,164.13,135.2,130.46,113.35,27.97,31.54,10.7,80.73,43.39,4.3,1.83,1.14,3.23,3.23,2.03,0.44,-6.39,-2.22160127788852,-2.22,-3.68,4.4,19.96,2.33,2600.17,13.52,74.63,8.42,13.56,32.29,1.6059548394325265,2.56,2.35,8.96,1.6,1.59,8.51,1.95,30.0,1,0,0,0,0.0
관문스틸주식회사,66785,2022,9.15,14.72,5.55,1.24,171.67,147.55,154.31,109.61,37.73,30.89,37.28,73.99,39.32,9.7,3.72,0.82,4.26,3.92,0.91,0.1,-54.19,-6.669178478709748,-6.67,-8.83,0.08,-5.51,-1.71,2871.3,16.28,88.66,3.64,22.44,36.52,4.468552901047112,26.82,6.73,24.13,4.54,4.31,17.19,5.76,20.0,1,0,0,0,0.0
대승주택주식회사,86471,2022,-14.17,-17.49,-11.44,-18.5,196.73,105.44,418.91,232.44,65.42,43.33,0.11,88.12,19.27,-14.19,-3.47,-4.76,-1.59,-1.61,-2.24,2.81,-23.29,37.70724838868195,37.71,47.96,-9.05,-17.74,-11.13,1187.41,5.12,50.36,8.29,-57.48,-25.07,0.6182058074241901,2.31,1.96,5.72,0.73,0.72,4.96,0.84,10.0,1,0,0,0,0.0
(주)늑대와여우컴퓨터,74212,2020,29.3,64.02,15.16,4.08,103.27,66.97,107.14,104.77,23.68,1.65,62.85,52.23,48.28,43.54,13.56,4.05,15.08,15.07,4.57,0.32,56.87,-20.253814850379623,-20.25,-41.3,31.2,-0.32,39.08,2630.03,31.13,67.8,8.38,48.32,57.48,3.7135990759003694,28.51,7.28,9.32,3.35,3.3,8.82,5.26,27.0,1,0,0,0,0.0
덕성기획(주),82991,2022,1.0,1.09,0.74,0.75,90.58,51.3,285.55,102.29,67.9,-2.5,0.08,24.03,25.94,-9.64,-2.61,-2.66,-0.78,-0.79,-0.8,2.02,-12.44,-1.2509558794724092,-1.25,0.0,-1.64,9.67,-1.4,1449.74,11.0,14.72,11.11,-23.9,22.12,0.9898735252610033,11.27,7.39,1.32,0.98,0.98,1.29,4.12,47.0,1,0,0,0,0.0
주식회사한국엘엔지,99137,2022,-8.45,-29.15,-7.92,-2.33,109.3,109.3,1480.97,780.36,27.15,4.59,7.02,53.95,6.33,-142.4,-28.46,-9.22,-23.51,-24.56,-8.09,-0.3,-124.12,-19.10334809820132,-19.1,-48.59,146.59,-24.22,8060.69,-71.01,-2.62,-9.81,-0.77,0.0,0.0,3.393183907332529,9.3,4.27,25.07,3.09,3.03,10.48,4.27,6.0,1,0,0,0,0.0
주식회사모던텍,85500,2022,-19.11,-29.08,-10.48,-14.37,114.14,83.47,121.45,95.2,36.05,6.08,8.22,49.07,45.16,-31.93,-8.49,-8.24,4.35,4.03,4.07,1.37,-31.93,112.29414615113036,112.29,113.58,111.07,82.72,100.51,1523.58,8.03,18.21,11.01,-74.85,29.1,0.729297869955346,3.88,3.06,2.21,1.03,0.99,1.94,2.02,13.0,1,0,0,0,0.0
(주)플라스틱과사람들,63504,2022,-8.17,-14.13,-3.51,-1.83,197.1,106.95,75.09,51.55,24.81,28.59,8.02,58.03,57.11,-3.16,-1.98,-0.98,-1.6,-2.02,-1.04,0.06,-13.76,3.8971844753143694,3.9,-15.88,53.94,-4.68,53.94,1227.06,5.58,15.55,2.92,-33.51,-0.15,1.9148328567254496,7.39,5.3,6.31,2.03,1.95,5.53,3.02,25.0,1,0,0,0,0.0
주식회사남양계전,22304,2022,-40.75,-12972.75,-2.66,-2.31,329.86,329.86,6.99,5.5,0.02,11.83,78.06,16.97,93.47,2.96,2.99,2.36,2.0,1.56,1.37,-0.38,-15.32,-1.5772005397336069,-1.58,-11.57,0.75,54.31,-0.04,4458.84,8.31,11.55,7.22,32.74,47.6,1.1509543171518613,21.69,6.36,1.6,1.26,1.14,1.39,6.36,42.0,1,0,0,0,0.0
농업회사법인(주)대마,73536,2022,-3.71,-4.72,-2.21,-0.89,76.56,75.15,147.62,129.93,46.9,-12.3,4.67,40.17,40.38,2.93,1.15,0.39,3.65,2.79,1.0,0.44,0.25,29.69781253431628,29.7,35.32,26.18,26.58,30.19,2328.34,6.97,12.79,2.81,13.84,74.36,2.476210257488756,13.53,7.27,5.11,2.97,2.8,4.62,7.09,10.0,1,0,0,0,0.0
주식회사비제이에스,90149,2021,74.9,82.27,60.34,292.12,1109.16,604.75,414.56,18.51,73.34,36.31,432.61,39.91,19.43,-1.64,-0.31,-1.55,2.39,2.39,11.86,13.76,-396.07,-4.698430389192759,-4.7,-11.29,0.25,-86.33,-0.19,365.16,4.2,7.05,20.33,-7.64,72.93,0.2065657308602646,3.02,0.85,0.35,0.2,0.2,0.34,0.49,6.0,1,0,0,0,0.0
신화상사(주),82989,2022,-7.12,-8.45,-5.55,-1.61,71.01,32.84,353.28,318.88,65.65,-20.4,0.11,49.95,22.06,4.03,0.85,0.24,3.43,3.33,0.93,0.74,0.6500000000000004,8.8541325041062,8.85,21.32,-1.27,23.01,-0.93,2672.57,14.94,33.27,4.35,5.46,45.28,3.435858607596281,22.58,16.95,7.62,3.6,3.58,6.82,7.54,28.0,1,0,0,0,0.0
(주)휴비스,97640,2022,-7.66,-15.36,-4.75,-4.49,154.52,98.19,163.05,111.76,30.9,23.16,7.93,65.65,38.02,49.78,16.64,13.06,18.08,17.98,14.22,0.82,-16.599999999999994,48.76988625192044,48.77,84.54,8.56,74.68,-0.5,6320.7,21.39,72.7,20.24,64.53,76.6,1.0569803567618616,3.57,2.86,3.58,1.27,1.26,3.2,2.09,15.0,1,0,0,0,0.0
주식회사태린건설,94184,2022,-23.14,-27.51,-22.54,-144.94,215.16,37.87,3771.45,1770.46,81.93,52.66,2.6,98.39,2.58,73.23,2.05,10.17,4.62,4.61,23.14,13.13,-32.959999999999994,77.8430906627623,77.84,79.96,3.41,13.98,-44.97,1331.19,4.83,140242.16,31.02,32.77,80.97,0.1555366434846387,1.63,0.81,3209.18,0.2,0.2,9.85,0.2,9.0,1,0,0,0,0.0
이니스트에스티주식회사,49436,2022,1.78,2.0,0.93,1.67,130.81,69.57,110.16,63.03,46.57,9.24,4.43,39.24,47.58,5.46,3.36,4.55,5.54,5.49,8.85,1.05,3.24,25.670234176037265,25.67,1.68,48.26,29.12,55.39,10171.9,8.07,19.37,14.49,31.37,77.19,0.5567970176040425,4.13,2.59,1.21,0.74,0.62,1.09,1.43,21.0,1,0,0,0,0.0
주식회사옵티멈,46120,2022,7.4,25.94,7.03,10.22,35.64,35.64,1895.89,595.52,27.11,-19.2,31.66,10.64,5.01,34.7,3.08,4.31,6.86,6.16,9.66,0.16,0.0,0.0,-13.56,-35.72,-9.86,-0.99,-18.36,9656.03,40.1,58.55,58.31,7.38,88.71,0.0,140.15,5.06,0.9,0.72,0.64,0.73,5.06,27.0,1,0,0,0,0.0
주식회사비더블유매니지먼트,91699,2020,22.77,25.25,5.89,34.57,159.23,159.23,34.91,32.66,23.33,14.34,1.15,38.55,74.12,-12.07,-14.19,-55.85,-3.55,-5.27,-32.56,-7.99,-123.06,-9.489346304940891,-9.49,-51.6,99.23,-86.76,-21.95,-302.55,-2.22,-718.47,-13.04,0.0,0.0,0.1703952407762428,0.0,0.31,48.31,0.25,0.16,0.37,0.29,10.0,1,0,0,0,0.0
서진화학(주),15403,2022,-19.6,-135.69,-2.5,-2.89,311.68,309.74,14.64,4.95,1.84,9.14,96.97,13.46,87.23,-4.09,-3.85,-4.21,-3.8,-3.8,-4.54,0.0,5.82,-6.25610662626822,-6.26,8.69,-8.22,0.21,-11.41,1892.23,11.63,17.0,13.44,-31.33,28.67,0.8655866042245771,14.13,6.82,1.19,0.92,0.84,0.96,6.7,47.0,1,0,0,0,0.0
한영정밀주식회사,86335,2022,1.36,1.82,1.06,2.33,32.29,16.77,354.0,301.87,58.47,-45.02,0.21,21.47,22.03,-24.25,-6.1,-13.33,-2.38,-2.39,-5.26,7.12,-29.71,-0.8342551537431914,-0.83,4.14,-2.11,19.16,-1.67,760.62,5.44,7.15,11.93,-111.76,83.47,0.4559392683417666,7.11,3.85,0.59,0.46,0.45,0.57,2.17,12.0,1,0,0,0,0.0
주식회사제이앤티에스,60488,2015,-1.43,-1.82,-1.16,-1.04,38.12,22.57,430.54,410.39,63.79,-47.87,5.05,29.49,18.85,-99.26,-24.68,-21.48,-19.22,-19.25,-16.94,2.93,-109.02,3.187905093151344,3.19,-5.9,7.53,-19.9,9.43,-3120.07,-9.96,-14.46,-8.91,0.0,0.0,1.118905637093779,11.31,6.45,1.68,1.15,1.14,1.64,3.68,14.0,1,0,0,0,0.0
한국플로젠(주),90044,2022,-13.27,-15.27,-4.11,-6.42,168.2,145.91,44.84,36.11,26.9,17.0,66.44,41.94,69.04,14.75,11.73,14.83,16.13,14.9,22.98,-0.73,-2.460000000000001,2.7857008902083416,2.79,-15.3,21.53,12.12,29.03,4134.67,19.31,53.96,30.19,49.12,71.7,0.6396702575993422,141.09,1.49,2.01,0.79,0.65,1.21,1.4,8.0,1,0,0,0,0.0
(주)포천수지,69942,2022,-2.66,-4.29,-1.55,-0.84,97.77,66.08,140.12,113.77,36.21,-1.06,0.12,46.32,41.65,-5.79,-2.7,-1.35,-1.83,-1.84,-1.06,0.53,-15.07,-11.474199163295213,-11.47,-16.72,-6.39,-16.4,-1.62,1995.62,20.12,62.82,10.88,-12.42,28.04,1.8493638024842287,6.28,4.56,5.2,2.0,1.74,3.33,3.63,27.0,1,0,0,0,0.0
주식회사거창물류,71078,2015,-0.82,-0.88,-0.64,-8.27,20.17,20.17,344.75,337.84,72.22,-60.64,0.0,15.32,22.48,-9.94,-2.39,-30.58,1.86,1.85,23.81,71.57,10.39,2.4797199981766096,2.48,35.63,-1.86,1037.83,-2.21,1618.04,6.87,8.15,89.29,-34.24,94.5,0.0769107615134608,0.0,0.58,0.09,0.08,0.08,0.09,0.58,12.0,1,0,0,0,0.0
주식회사케이원식자재마트,99750,2022,-2.46,-2.85,-1.77,-4.24,8.41,2.35,253.94,186.38,62.01,-48.23,0.83,4.43,28.25,-34.11,-11.09,-27.88,-6.14,-6.15,-15.47,6.9,-35.01,-8.819510874301505,-8.82,-56.14,-4.02,-29.9,-3.12,-520.51,-2.42,-2.55,-5.81,0.0,0.0,0.4166445969990365,92.29,43.5,0.43,0.4,0.4,0.43,5.74,5.0,1,0,0,0,0.0
주식회사이건그린텍,57922,2022,5.3,8.78,3.0,3.77,55.99,43.87,130.2,64.68,34.1,-12.37,13.55,15.73,43.44,-0.54,-0.34,-0.3,0.06,-0.25,-0.32,1.2,0.0,0.0,-1.47,-26.22,5.11,-5.22,10.2,1752.83,3.4,6.42,4.28,-6.9,60.04,0.0,8.97,5.04,1.5,1.14,0.79,0.97,4.29,14.0,1,0,0,0,0.0
