회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,비유동비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,매출액총이익률,총자본사업이익률,총자본정상영업이익률,자기자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,자기자본배율,유형자산증가율,재고자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,자기자본회전률,경영자본회전률,총자본회전률,비유동자산회전률,순운전자본회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
이트론(주),96040,2014,-12,-24,-3,-5,537,484,47,32,16,12,52,214,64,76,-7.62,-6.77,-8.79,21.56,1.48,0.35,0.5,0.58,0.35,-19.97,-17.40113913088608,10.55,59.47,-28.96,4.95,278,-10.06,28.96,2585,6,175,11,-80,0.5794280235431216,3.4,1,15,1,1,1,1,1,1,25.0,16.0,도입기,1.0
이화산업(주),760,2019,1,2,0,2,47,35,135,59,51,31,-17,14,15,63,-4.35,-9.08,-7.71,18.05,-0.53,-0.59,-0.94,-2.74,4.83,-3.35,-1.646666544489,-1.65,-6.58,-0.72,-10.7,727,-22.82,0.79,5989,2,97,10,-79,0.2182507259196467,3.42,2,9,0,1,0,0,1,1,74.0,30.0,성숙기,1.0
이화전기공업(주),24810,2014,-21,-34,-11,-12,67,46,147,114,101,32,-16,4,31,47,-39.52,-39.43,-34.46,3.62,-11.82,-12.63,-25.74,-14.31,3.05,-5.010000000000005,-12.51166908421968,-12.51,-12.32,-12.6,-10.82,136,-0.36,-18.28,-17506,-15,-33,-16,0,0.9458566570621464,11.45,4,2,2,1,1,1,1,3,59.0,30.0,쇠퇴기,1.0
인바이오(주),352940,2022,-13,-24,-6,-16,174,115,42,88,84,26,33,29,78,53,-7.15,-4.13,-10.06,19.23,-5.08,-5.37,-9.91,-13.95,5.4,-19.23,-3.581634872727024,-3.58,-3.76,-2.94,2.31,856,-7.36,27.45,7913,9,77,23,-44,0.3919409782163633,1.38,1,3,1,0,0,2,0,0,27.0,4.0,도입기,0.0
일정실업(주),8500,2019,-33,-39,-17,-25,137,88,98,105,78,43,14,6,52,49,-37.57,-23.13,-34.18,-17.39,-24.99,-25.36,-45.12,-41.05,0.69,-22.92,-11.36783788374114,-11.37,-22.46,4.96,-17.12,492,-4.95,-18.85,-4612,-8,-20,-12,0,0.6574846221299918,4.21,2,2,1,1,1,1,1,1,51.0,30.0,쇠퇴기,1.0
자이글(주),234920,2022,-14,-17,-4,-18,65,33,116,46,46,27,-11,18,21,68,-8.56,-6.81,-24.91,47.84,-4.41,-4.44,-6.08,-17.7,2.13,0.9299999999999996,4.502777190826366,4.5,-27.92,18.26,-25.94,617,-1.32,-12.4,555,1,1,4,-673,0.2456093976603483,34.9,2,0,0,0,0,0,0,1,16.0,8.0,도입기,0.0
전진바이오팜(주),110020,2020,-24,-35,-10,-47,136,131,77,66,65,28,14,122,53,60,-48.21,-27.99,-88.4,57.32,-14.71,-14.89,-26.36,-48.34,12.75,-5.25,191.60747415146648,191.61,120.33,363.6,-2.09,373,625.85,2.87,-698,-4,-9,-18,0,0.2068255718746885,73.01,1,1,1,0,0,1,0,1,20.0,6.0,도입기,1.0
제너셈(주),217190,2018,-8,-14,-6,-10,75,39,208,219,148,40,-11,8,35,31,-44.07,-17.71,-30.73,11.23,-13.85,-13.9,-35.0,-24.41,5.63,-17.64,5.480280441346628,5.48,-6.18,13.0,-5.97,335,9.21,52.46,1127,2,4,4,-709,0.554861015322939,4.24,3,1,1,1,1,1,1,2,24.0,9.0,쇠퇴기,1.0
제룡전기(주),33100,2022,-28,-1970,-5,-6,401,246,30,24,23,0,57,88,76,81,19.2,15.65,14.5,37.57,19.75,19.34,24.59,18.57,-0.39,17.21,13.537630380557758,13.54,21.0,-4.72,76.42,882,-2.38,137.45,28122,32,158,33,44,0.9791777229433484,8.05,2,5,1,1,1,4,1,1,38.0,27.0,쇠퇴기,0.0
제이엠아이(주),33050,2022,10,28,5,6,133,112,82,102,90,17,15,22,59,49,6.18,3.1,3.82,15.57,5.82,5.65,11.78,7.28,0.82,1.0999999999999996,4.2883687293314825,4.29,7.95,-0.66,34.13,130,1.08,28.19,19592,23,65,30,13,0.7596502917942106,4.34,2,2,2,1,1,2,1,1,31.0,27.0,성숙기,0.0
