회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
(주)씨엔플러스,115530,2015,-6,-6,-4,-7,46,38,193,157,58,-29,4,25,34,-56.12,-27.34,-44.41,-8.21,-8.3,-16.22,2.57,-15.909999999999997,-10.909224239760572,-10.91,-14.63,-9.6,-18.55,-14.78,-1320,-3,-4,-5,0,0.5430720033906221,5.92,2,1,1,1,1,2,21.0,13.0,도입기,1.0
(주)씨유메디칼시스템,115480,2018,9,11,5,7,111,74,116,75,42,4,15,38,46,3.91,2.42,2.27,5.02,4.4,4.8,1.31,11.44,70.06110371343274,70.06,16.15,138.77,30.78,501.11,12963,12,31,17,13,0.7276189611249614,5.47,3,3,1,1,2,2,23.0,13.0,성장기,1.0
(주)씨티케이,260930,2022,-10,-25,-2,-4,356,332,18,15,6,33,156,46,85,-11.01,-16.17,-30.52,-7.46,-7.86,-21.94,-0.07,-10.47,-14.219126832962766,-14.22,-4.56,-20.94,-39.72,5.66,4348,2,11,6,-487,0.3881440408595824,5.95,1,2,1,0,1,1,23.0,7.0,도입기,0.0
(주)씨티프라퍼티,52300,2014,137,428,26,21,212,211,24,17,6,16,89,30,81,-25.2,-13.97,-10.23,-4.47,-4.76,-4.6,1.24,-15.2,-29.24374940377871,-29.24,-46.35,-18.24,-23.56,-49.95,9135,24,1326,19,-54,1.248897339251376,7.91,3,47,1,1,2,3,29.0,23.0,성숙기,1.0
(주)아나패스,123860,2020,-11,-36,-9,-8,114,108,397,373,25,11,25,86,20,-132.58,-49.36,-48.52,-19.74,-20.64,-22.21,0.8,-96.9,-25.431905313910782,-25.43,-22.26,-40.19,65.95,-32.45,-36373,-39,-622,-36,0,1.0875363481950662,36.87,1,10,1,1,6,1,22.0,14.0,쇠퇴기,1.0
(주)아리온테크놀로지,58220,2018,-1,-3,-1,-2,130,100,204,69,29,7,26,29,33,-47.35,-23.42,-24.34,-7.75,-8.05,-12.78,8.6,28.770000000000003,12.552392119288406,12.55,-11.0,26.48,-11.32,-97.27,-1414,-2,-300,-3,0,0.5945556091566465,5.88,2,5,1,1,1,2,25.0,19.0,도입기,1.0
(주)아모그린텍,125210,2022,8,12,5,5,106,74,156,106,40,3,12,44,39,23.31,9.22,8.03,6.93,6.86,6.22,1.3,16.72,25.241949290810773,25.24,2.12,52.2,16.43,57.16,31138,22,50,22,37,0.9928961839030764,4.86,3,3,1,1,2,2,20.0,5.0,성장기,0.0
(주)아미노로직스,74430,2014,-50,-91,-9,-96,344,197,21,18,10,37,171,52,82,-22.42,-23.28,-228.75,-10.47,-11.46,-140.5,-7.08,15.869999999999996,-19.861586168325427,-19.86,-15.58,-23.99,8.1,-19.14,-6273,-16,-969,-177,0,0.0916647256268868,2.7,0,5,0,0,0,0,27.0,20.0,도입기,1.0
(주)아스타,246720,2019,-45,-55,-19,-383,137,119,71,60,34,13,44,48,59,-48.28,-57.66,-1198.9,-17.67,-19.29,-493.71,-17.06,-36.56,-32.46347888454184,-32.46,-53.33,16.39,-28.19,1243.81,-10565,-41,-97,-845,0,0.0484613210549734,6.36,0,0,0,0,0,0,18.0,7.0,쇠퇴기,1.0
(주)아시아경제,127710,2022,15,19,11,92,76,76,279,171,57,-11,16,34,26,9.19,2.65,20.49,0.0,-0.16,-1.34,0.46,-9.74,203.4321960971756,0.0,0.0,0.0,0.0,0.0,57665,8,49,68,30,0.1183731408805299,8.57,0,1,0,0,0,0,19.0,9.0,성숙기,0.0
(주)아우딘퓨쳐스,227610,2021,-9,-13,-6,-7,122,77,189,142,47,11,15,60,35,-39.72,-16.67,-19.06,-14.42,-14.83,-17.58,2.12,5.759999999999998,-5.715643729099403,-5.72,-3.97,-8.23,8.65,-8.26,8809,17,50,20,-95,0.8689169766207873,9.12,2,2,1,1,2,1,24.0,7.0,성장기,1.0
(주)아이앤씨테크놀로지,52860,2015,-27,-48,-12,-69,189,143,85,28,26,13,7,28,54,-67.39,-58.14,-302.09,-11.32,-11.59,-76.21,1.35,-43.83,-24.14766896310291,-24.15,-5.16,-29.68,80.64,-1.05,-23323,-43,-142,-242,0,0.1762158191501246,18.92,1,1,0,0,0,1,28.0,15.0,쇠퇴기,1.0
(주)아이에스시,95340,2022,58,134,15,29,199,171,34,30,11,22,66,45,75,17.91,16.79,24.56,18.37,18.02,31.24,-0.54,2.6099999999999994,36.95019668016688,36.95,64.48,20.38,23.64,20.26,106706,30,109,60,41,0.4990376038454421,8.17,2,1,1,1,1,1,23.0,17.0,성장기,0.0
(주)아이에스이커머스,69920,2017,-14,0,-3,-8,291,289,28,28,0,42,71,64,78,58.94,66.6,92.39,-0.68,-1.82,-3.83,-1.88,53.58,9.31198728576729,71.13,97.37,38.67,48.32,-73.6,53739,55,6844,147,63,0.3759717281497499,4.6,1,19,1,0,1,1,23.0,17.0,쇠퇴기,1.0
(주)아이엘사이언스,307180,2021,-10,-22,-8,-12,84,73,373,329,38,-11,14,59,21,-101.08,-17.89,-15.78,4.65,4.54,5.27,3.13,-49.7,81.39328130450686,81.39,177.13,21.44,177.08,31.21,1090,2,9,2,-704,0.667508589809297,3.65,2,2,1,1,2,2,6.0,6.0,도입기,1.0
(주)아이엠,101390,2020,-11,-24,-8,-4,66,46,266,227,34,-21,11,41,27,-46.43,-13.61,-8.55,-7.11,-7.22,-4.85,2.77,4.5,-32.645855509978915,-32.65,-26.45,-36.4,-27.64,-29.55,29330,37,68,20,-43,1.850328919514764,9.86,5,3,2,1,2,4,18.0,16.0,쇠퇴기,1.0
(주)아이오케이컴퍼니,78860,2018,-3,-4,-1,-4,130,130,48,45,23,9,10,39,67,-16.58,-24.03,-44.65,-4.56,-5.19,-19.33,14.71,-10.45,61.14173372565481,61.14,177.22,26.7,61.79,774.07,7,0,0,0,-190075,0.2174992804832016,9.08,1,12,1,0,0,1,24.0,18.0,도입기,1.0
(주)아이윈,90150,2015,4,6,2,2,189,123,136,72,38,27,51,58,42,2.24,1.15,0.95,1.7,1.55,1.6,1.12,0.1700000000000003,-2.8603761062823647,-2.86,-3.92,-1.37,2.34,-1.68,15982,16,91,16,6,0.9868114373257704,5.99,3,6,1,1,2,2,25.0,18.0,성숙기,1.0
(주)아이윈플러스,123010,2018,-4,-5,-3,-5,71,56,192,126,55,-13,27,31,34,-53.13,-23.13,-47.4,-20.09,-20.3,-43.36,3.86,-24.72,-19.214506342572225,-19.21,-28.06,-14.58,-34.88,-14.39,1437,8,13,16,-305,0.5239847127653039,6.0,2,1,0,0,1,1,21.0,8.0,쇠퇴기,1.0
(주)아이컴포넌트,59100,2014,12,14,6,11,86,50,102,75,43,-5,26,32,50,-9.45,-4.36,-8.26,-1.47,-1.57,-3.0,4.52,3.0700000000000003,-1.9728696356330144,-1.97,11.25,-7.16,1.6,-6.02,6851,13,22,24,-34,0.5278757323124833,5.98,3,1,1,1,1,2,24.0,16.0,성장기,1.0
(주)아이톡시,52770,2018,-36,-135,-34,-36,76,76,2013,1950,25,-22,7,70,5,-2423.79,-121.65,-122.08,-42.94,-43.18,-45.95,1.92,-1960.62,0.9030000703548104,0.0,0.0,0.0,0.0,0.0,-10207,-66,-2409,-70,0,0.9395573953674996,14.9,1,34,1,1,3,1,27.0,22.0,도입기,1.0
(주)아톤,158430,2022,19,29,8,20,148,148,68,52,26,15,37,46,59,28.32,26.61,38.53,8.08,7.42,17.98,2.02,25.82,21.641823402498016,21.64,-12.37,80.58,3.38,335.73,30448,26,574,68,57,0.3758863137272692,8.15,1,13,1,0,1,1,25.0,5.0,성장기,0.0
(주)안트로젠,65660,2020,-23,-33,-3,-73,470,451,16,14,10,46,343,58,86,-5.85,-6.9,-105.39,-3.97,-4.15,-89.46,3.54,0.6600000000000001,11.360581953055288,11.36,1.46,28.93,0.09,48.78,-1912,-2,-24,-46,0,0.0440663686973569,2.32,0,0,0,0,0,0,24.0,8.0,도입기,1.0
(주)알로이스,297570,2022,12,26,3,4,391,241,33,31,11,68,116,92,75,21.63,15.59,21.17,10.92,10.39,14.95,1.57,-2.8500000000000014,1.1732088603620494,1.17,5.09,-28.97,-21.62,-15.47,11776,28,3471,41,52,0.6909740531721316,4.02,1,78,1,1,7,1,6.0,6.0,성숙기,0.0
(주)알에프세미,96610,2020,-4,-5,-2,-5,130,35,135,89,46,11,11,49,42,-46.59,-22.67,-59.89,-22.09,-22.11,-62.01,5.19,-41.220000000000006,-14.431346922949812,-14.43,-20.32,-7.85,-20.08,-12.04,-5326,-6,-16,-16,0,0.3865878673645369,7.86,3,1,0,0,1,1,25.0,17.0,도입기,1.0
(주)알체라,347860,2022,-42,-90,-18,-94,720,720,71,20,20,73,444,84,58,-54.46,-22.51,-127.54,-23.82,-25.15,-151.96,22.98,8.32,-21.20351352404149,-21.2,-26.65,31.98,10.88,-8.71,2785,5,101,25,-508,0.1877967649339826,3.05,0,4,0,0,1,0,8.0,4.0,도입기,1.0
(주)알테오젠,196170,2018,-144,-374,-9,-49,2352,2333,7,4,3,78,360,82,93,-12.91,-12.61,-51.59,-11.92,-13.39,-55.9,-5.97,4.600000000000001,65.94987420193438,65.95,63.32,78.71,13.21,132.92,-2307,-3,-20,-17,0,0.1919718999476748,8.75,0,2,0,0,1,0,16.0,10.0,도입기,1.0
(주)알톤스포츠,123750,2017,-45,-56,-22,-30,139,76,95,94,39,19,23,68,51,-51.7,-33.01,-49.06,-18.58,-18.72,-30.38,1.89,-43.010000000000005,-27.80354243025584,-27.8,-21.37,-38.35,-17.34,-18.31,-10064,-17,-73,-23,0,0.7347372612237831,3.72,2,3,1,1,2,1,14.0,14.0,쇠퇴기,1.0
(주)알파홀딩스,117670,2018,-16,-22,-9,-10,83,81,117,108,39,-8,10,42,46,-12.04,-10.87,-7.23,-6.75,-7.41,-7.2,1.7,9.970000000000002,61.66814016580887,61.67,64.93,59.43,21.56,12.97,6423,6,33,8,-96,0.8333965225529978,6.54,3,4,2,1,2,3,22.0,14.0,도입기,1.0
(주)압타머사이언스,291650,2022,-28,-67,-10,-1291,1496,1494,56,9,15,78,48,83,64,-23.45,-18.26,-1986.19,-19.66,-21.09,-2322.35,-73.99,-11.95,37.23138764786798,37.23,52.99,-9.06,33.04,-1.32,-5641,-12,-77,-1575,0,0.0078486203643056,49.37,0,0,0,0,0,0,13.0,4.0,도입기,1.0
(주)애니플러스,310200,2022,31,70,13,32,126,115,76,54,19,8,55,38,57,6.71,5.03,9.37,8.75,7.93,16.56,3.05,-57.970000000000006,39.65426160721671,39.65,-11.42,118.02,18.55,26.43,32397,23,370,56,17,0.4107304453824071,6.29,1,7,1,0,1,1,6.0,6.0,성장기,0.0
(주)애드바이오텍,179530,2021,-10,-12,-8,-13,69,52,311,247,63,-19,9,41,24,-36.92,-18.17,-22.5,-7.78,-7.81,-13.13,1.05,41.83,11.24885310838281,11.25,19.63,6.01,20.63,38.59,1106,5,15,9,-241,0.5649114304340823,4.53,2,1,1,1,1,1,24.0,2.0,도입기,1.0
(주)액션스퀘어,205500,2018,-82,0,-35,-99,339,339,75,35,0,48,23,68,57,-87.74,-48.66,-150.11,-44.95,-47.09,-145.25,-6.6,3.210000000000008,-15.345457584049983,-15.35,-23.66,10.85,-20.54,-5.17,4628,22,124,62,-242,0.3535387839668914,13.68,0,2,0,0,1,0,10.0,10.0,도입기,1.0
(주)앤디포스,238090,2022,-19,-33,-4,-7,336,248,23,23,11,43,49,62,81,-13.14,-12.05,-24.02,0.33,-0.68,-1.53,0.21,-25.36,-25.39583141610173,-25.4,-43.36,51.97,41.53,-10.62,-10454,-6,-76,-12,0,0.5179444453917443,12.79,1,6,1,0,2,1,14.0,8.0,도입기,0.0
(주)앤씨앤,92600,2014,-13,-27,-2,-3,486,417,20,17,8,56,103,70,83,-4.0,-4.48,-5.32,-3.37,-4.74,-7.51,-1.99,28.05,-2.43980011076077,-2.44,-4.2,1.94,-2.25,-31.7,5849,10,885,16,-33,0.6387591694492948,29.93,1,44,1,1,2,1,27.0,17.0,쇠퇴기,1.0
(주)앱코,129890,2022,1,1,0,1,341,232,78,32,38,43,40,61,56,-27.28,-18.19,-21.33,-13.66,-13.84,-18.74,0.79,-17.98,-19.703038538578145,-19.7,-35.25,29.6,-18.82,39.9,-8567,-9,-48,-10,0,0.8288964759344774,6.08,2,3,1,1,2,1,23.0,4.0,도입기,0.0
(주)야스,255440,2022,18,230,5,19,216,164,36,31,2,26,32,49,74,-0.53,-0.83,-2.3,-1.59,-2.19,-8.81,-2.26,-1.84,-3.255289564110897,-3.26,-16.82,14.61,10.3,25.24,13015,6,35,24,-10,0.2528932666602762,3.1,1,1,0,0,1,0,22.0,7.0,도입기,0.0
(주)어스앤에어로스페이스,263540,2019,-6,-10,-5,-9,84,50,1288,851,57,-10,10,52,7,-155.51,-62.24,-125.79,-32.75,-32.8,-70.05,2.97,-150.42999999999998,-40.553169995827005,-40.55,-37.33,-43.65,-15.64,-36.87,-13002,-31,-66,-49,0,0.6279212690110705,1.96,2,1,0,0,1,1,22.0,7.0,도입기,1.0
(주)에너토크,19990,2022,16,34,2,5,370,256,17,15,7,35,84,48,86,1.7,1.98,2.89,2.72,1.82,3.6,-1.53,-2.6,-0.3859668132421428,-0.39,8.5,-7.45,16.45,-8.91,8246,16,61,31,9,0.5080609678356609,4.2,1,2,1,1,1,1,37.0,18.0,쇠퇴기,0.0
(주)에스디시스템,121890,2018,-34,-94,-17,-13,147,119,107,99,18,23,45,70,48,-36.69,-17.84,-12.37,-13.08,-13.21,-10.13,0.51,12.650000000000006,-0.969209935542346,-0.97,-9.43,26.96,-17.7,-9.2,1882,5,43,4,-300,1.3109947360459813,6.39,2,10,1,1,5,2,23.0,14.0,성장기,1.0
(주)에스메디,118000,2014,-22,-34,-13,-21,96,86,137,133,37,-2,8,54,42,-74.13,-53.23,-76.85,-28.48,-29.14,-51.58,2.82,-45.06999999999999,-10.447041135392048,-10.45,9.15,-25.85,-5.64,-9.51,-3170,-16,-246,-27,0,0.5978996952813598,2.59,1,9,1,1,1,1,15.0,15.0,쇠퇴기,1.0
(주)에스아이리소스,65420,2014,17,26,10,9,120,101,128,81,38,7,23,43,44,-59.03,-47.33,-43.36,3.33,3.0,3.41,2.66,-59.66,-28.942987611930025,-28.94,23.19,-45.98,-2.47,-56.73,-5706,-16,-84,-15,0,1.0597695315790847,12.13,4,3,1,1,1,3,37.0,22.0,성장기,1.0
(주)에스앤더블류,103230,2014,42,117,12,18,237,94,40,19,10,18,20,32,72,0.36,0.28,0.39,0.14,0.09,0.14,0.1,-0.66,-0.8865504150430038,-0.89,-4.79,1.07,2.01,-0.19,13183,17,29,26,2,0.6601270494526696,6.12,5,1,1,1,1,2,15.0,15.0,성숙기,1.0
(주)에스앤에스텍,101490,2022,52,184,8,15,309,247,19,16,5,28,153,42,84,9.57,9.51,14.14,8.0,7.55,12.97,-0.73,2.9800000000000004,14.84588682158515,14.85,-5.07,34.94,24.95,32.3,39518,17,45,32,44,0.5446815160938092,5.11,2,1,1,1,1,1,23.0,15.0,성장기,0.0
(주)에스에스알,275630,2022,95,665,11,28,829,827,13,12,2,74,272,84,88,7.1,6.81,15.17,9.55,7.99,19.08,-3.61,0.3799999999999999,11.726081923997494,11.73,11.49,13.02,17.27,28.69,7144,23,296,57,27,0.3967580071199209,5.02,1,5,0,0,3,1,14.0,6.0,성숙기,0.0
(주)에스엘에너지,214310,2018,16,24,8,16,97,91,106,104,34,-2,40,49,49,-72.23,-38.98,-53.76,-8.44,-8.94,-16.82,10.3,-10.330000000000004,14.265419687793546,14.27,34.94,-0.26,-33.1,15.26,3613,6,21,11,-478,0.4982870868922084,4.66,1,2,1,1,1,1,17.0,9.0,도입기,1.0
(주)에스엘에스바이오,246250,2022,62,125,27,29,296,281,75,30,21,34,75,52,57,54.2,27.26,26.28,22.88,21.78,22.54,0.12,52.61,11.868763641105549,11.87,61.2,-15.61,30.44,-14.74,7261,62,181,68,39,0.9148331120253856,4.23,2,2,1,1,2,2,17.0,1.0,성숙기,0.0
(주)에스제이그룹,306040,2022,38,74,13,13,255,182,54,38,18,38,56,63,65,25.0,18.41,14.69,21.02,20.06,18.1,-0.06,0.2600000000000015,22.42595817116811,22.43,18.59,29.49,32.15,19.96,58246,30,202,29,50,1.0068363814170818,11.71,2,7,1,1,3,2,16.0,5.0,성숙기,0.0
(주)에스제이엠,123700,2014,54,571,11,12,415,257,25,21,2,52,79,68,80,11.38,9.65,10.16,12.41,12.04,12.86,-0.36,-1.2699999999999996,6.592425249781753,6.59,7.71,4.29,-14.2,0.24,66740,39,130,42,24,0.9078663776164908,3.96,2,3,1,1,3,1,14.0,14.0,성숙기,1.0
(주)에스제이엠홀딩스,25530,2022,8,17,2,3,453,305,25,17,9,49,106,63,80,1.15,1.39,2.08,3.07,2.5,4.47,-0.5,-0.98,-0.3041896377575225,-0.3,9.35,-13.54,23.09,-6.1,70813,22,145,38,5,0.5613733640535113,4.11,1,4,1,1,1,1,49.0,27.0,성숙기,0.0
(주)에스지글로벌,1380,2014,-9,-14,-3,-6,111,42,62,30,24,2,6,21,62,-1.2,-1.39,-1.23,0.41,0.38,0.63,1.18,-3.1,2.39395418713576,2.39,-51.92,46.14,-11.5,4.08,15709,8,37,13,-9,0.6013290643970547,9.47,6,3,1,1,1,2,70.0,48.0,도입기,1.0
(주)에스지엔지,40610,2020,41,55,7,55,32,24,20,12,12,-7,8,3,83,10.3,7.24,65.78,0.13,0.13,2.26,2.74,9.74,-70.47582224713503,-70.48,-97.71,-51.18,-95.7,-86.54,44881,14,161,111,59,0.121978058039418,0.53,0,0,0,0,0,0,31.0,24.0,성숙기,1.0
(주)에스코넥,96630,2022,5,7,3,3,92,76,252,247,44,-6,27,65,28,9.49,2.05,1.35,4.07,3.77,2.91,1.86,41.19,16.133212702865478,16.13,36.66,-8.97,10.48,-9.73,40541,24,92,20,7,1.2064830186725053,8.76,3,4,2,1,3,2,24.0,17.0,성장기,0.0
(주)에스티오,98660,2022,27,40,14,11,129,33,102,85,35,12,4,54,50,5.41,3.07,2.19,5.41,4.99,4.16,1.24,4.28,-2.0337888323404334,-2.03,-7.26,4.97,13.45,12.22,14105,23,74,19,11,1.210976443026485,25.07,8,4,1,1,3,2,21.0,15.0,성숙기,0.0
(주)에스피시스템스,317830,2022,10,17,4,5,168,161,58,47,21,20,79,50,63,4.46,3.85,5.17,5.17,4.57,6.39,0.75,7.57,17.078117033600314,17.08,25.31,9.92,47.96,16.42,18677,23,82,35,15,0.6640092335360148,8.65,2,2,1,1,1,1,36.0,5.0,성장기,0.0
(주)에이디칩스,54630,2014,-29,-40,-16,-8,229,143,118,63,39,37,69,66,46,-70.87,-27.76,-15.5,-22.79,-22.86,-13.19,0.91,-31.040000000000006,-24.115504425170293,-24.12,-28.71,-13.2,-39.16,-3.14,2071,16,53,8,-196,2.008792252446043,9.54,4,7,2,2,6,3,28.0,23.0,쇠퇴기,1.0
(주)에이디테크놀로지,200710,2022,25,34,7,10,260,243,40,36,21,41,92,67,72,3.61,2.63,3.42,2.54,1.88,2.68,-0.17,-6.18,-0.0612335286139824,-0.06,-2.94,6.27,-49.0,1.73,44441,19,97,27,13,0.7017526297431447,11.2,1,4,1,1,2,1,22.0,10.0,성장기,0.0
(주)에이루트,96690,2018,31,3982,7,26,192,169,27,27,0,19,51,40,79,-8.76,-12.81,-37.56,-3.7,-5.28,-24.13,-6.76,0.5899999999999999,-25.7559190851829,-25.76,-46.18,-0.02,-39.46,-7.51,-3089,-4,-31,-14,0,0.2567568727552325,6.3,0,2,0,0,0,0,22.0,14.0,성숙기,1.0
(주)에이비프로바이오,195990,2017,-32,-41,-13,-49,114,70,68,61,31,5,7,41,59,-11.22,-8.8,-25.09,-6.22,-6.9,-25.4,3.95,-11.24,3.3098558255118573,3.31,-31.79,61.21,-7.22,-10.54,718,0,2,2,-1606,0.2672252219917538,2.85,1,1,0,0,1,1,20.0,9.0,쇠퇴기,1.0
(주)에이스토리,241840,2022,-4,-12,-2,-3,230,207,73,60,15,45,81,79,58,7.69,4.37,5.7,9.06,8.54,11.86,3.83,-28.01,3.668903036947756,3.67,1.08,14.79,21.78,55.59,26119,26,1987,36,16,0.7077273346827954,4.28,1,66,1,1,4,1,20.0,5.0,성숙기,0.0
(주)에이치시티,72990,2022,27,34,12,23,106,106,74,44,34,2,26,27,57,8.15,4.66,8.21,5.33,5.11,9.62,1.27,-8.24,10.331717508091298,10.33,4.69,12.56,6.08,7.43,48586,37,61,72,11,0.5062480631874207,4.49,2,1,1,1,1,2,24.0,8.0,성숙기,0.0
(주)에이치알에스,36640,2022,64,244,6,8,848,449,10,6,2,42,247,47,91,9.74,11.95,11.65,9.78,9.63,13.29,-0.12,-11.19,-3.1775577523306646,-3.18,-13.45,8.33,2.42,15.29,24376,21,102,28,41,0.7366419234288671,6.46,3,4,1,1,1,1,43.0,24.0,성숙기,0.0
(주)에이치앤비디자인,227100,2021,12,19,3,16,333,322,39,29,18,49,267,69,72,-78.96,-45.56,-147.38,-20.97,-21.21,-69.91,7.02,116.89,192.1145008705944,192.11,139.17,489.1,-66.43,451.27,-13458,-21,-182,-102,0,0.2036095429470324,5.56,1,3,0,0,1,0,12.0,6.0,도입기,1.0
(주)에이치케이,44780,2022,10,16,3,3,206,119,46,45,19,32,18,63,69,7.46,5.0,5.25,6.89,6.69,7.14,0.35,-2.920000000000001,-1.584161022100554,-1.58,-4.34,3.51,13.37,1.99,16749,19,56,21,26,0.9438979198891632,4.98,2,3,1,1,3,1,34.0,24.0,쇠퇴기,0.0
(주)에이텍모빌리티,224110,2022,24,68,10,9,137,101,68,50,14,11,56,41,60,8.23,6.34,4.15,5.28,5.19,4.34,0.31,3.7,37.73546447709101,37.74,8.61,68.84,14.14,82.65,40718,28,113,27,15,1.0329317994417155,10.37,4,5,2,1,2,3,9.0,9.0,성숙기,0.0
(주)에이팩트,200470,2022,11,14,5,14,88,69,87,37,36,-2,43,18,54,3.33,1.99,4.2,2.95,2.78,6.23,1.45,-0.5299999999999998,84.51011475875995,84.51,77.75,86.02,55.97,82.46,40230,19,26,55,8,0.3439082088998876,12.72,3,1,0,0,1,3,17.0,10.0,성장기,0.0
(주)에이프로젠바이오로직스,3060,2014,-19,-31,-5,-13,467,403,37,17,17,45,90,57,73,-6.56,-6.28,-13.28,-5.63,-6.56,-16.17,1.77,26.87,8.393641030411498,8.39,11.93,3.99,12.01,6.54,7527,9,34,23,-58,0.3901095744097192,2.76,1,2,0,0,1,1,64.0,40.0,도입기,1.0
(주)에이프로젠헬스케어앤게임즈,109960,2017,-16,-26,-3,-39,320,320,24,22,12,39,70,56,81,-5.35,-6.66,-35.34,-1.19,-3.31,-23.18,7.43,257.87,807.9471972232609,807.95,620.64,1268.86,-27.11,-39.52,527,0,225,5,-754,0.0793097478744633,4.0,0,36,0,0,0,0,26.0,15.0,성장기,1.0
(주)에이피에스,54620,2019,-6,-7,-2,-20,130,128,39,20,22,4,14,19,72,-1.22,-7.74,-19.87,-3.37,-3.64,-45.7,1.91,-1.81,5.12152766099648,5.12,3.59,5.49,-18.53,45.63,17843,6,233,77,-26,0.0777653506968386,3.87,0,2,0,0,0,0,28.0,23.0,도입기,1.0
(주)에코마케팅,230360,2022,47,234,15,13,281,230,45,38,6,48,101,74,69,21.94,16.66,12.8,20.0,19.37,16.04,-0.23,3.5500000000000007,12.721762711370848,12.72,20.14,-4.29,53.6,-13.07,82063,27,348,23,55,1.13911991450088,45.09,2,14,1,1,4,2,21.0,8.0,성숙기,0.0
(주)에코앤드림,101360,2022,-4,-5,-2,-4,222,142,75,39,30,27,70,50,57,0.09,0.09,0.16,2.3,1.74,3.72,3.3,-13.95,16.018993642389912,16.02,-9.55,61.49,-21.85,58.47,7530,5,19,12,1,0.4340097788426528,11.88,1,1,1,0,1,1,20.0,4.0,성장기,0.0
(주)에프알텍,73540,2017,-18,-25,-8,-20,138,92,76,32,32,7,50,25,57,-7.6,-7.48,-11.74,-10.13,-10.24,-25.08,1.05,2.890000000000001,15.087326477395816,15.09,11.04,16.52,5.85,18.94,931,2,5,4,-293,0.3815933717184046,4.83,2,1,1,0,1,2,24.0,17.0,도입기,1.0
(주)에프앤가이드,64850,2022,16,23,7,24,142,142,76,36,30,9,45,29,57,14.93,13.66,27.95,6.88,6.27,21.36,2.8,4.119999999999999,3.618531847087039,3.62,9.65,1.29,11.36,-2.9,24000,24,176,84,33,0.2884559217366478,9.27,1,2,0,0,0,1,24.0,4.0,성숙기,0.0
(주)엑셈,205100,2022,74,469,11,24,279,279,17,16,2,24,153,38,85,9.59,9.49,17.42,11.6,10.83,22.73,-1.42,-3.84,5.976286514723921,5.98,-29.91,53.6,16.49,76.96,33840,28,54,61,28,0.463224118667657,6.79,1,1,1,0,1,1,10.0,10.0,성숙기,0.0
(주)엑스페릭스,317770,2022,105,703,5,16,1846,1558,5,4,1,75,542,79,95,6.74,6.93,20.54,6.69,5.76,18.69,-2.97,-0.6699999999999999,5.415304411807935,5.42,-6.1,97.06,3.85,16.86,6257,12,480,42,49,0.3001060583638469,8.34,0,12,0,0,2,0,7.0,5.0,성숙기,0.0
(주)엑시콘,92870,2022,-19,-59,-3,-5,351,177,17,14,5,29,25,41,85,10.97,13.89,16.69,6.6,6.35,11.25,-0.43,-18.55,10.515160932063148,10.52,45.67,-5.47,37.73,-6.5,30359,18,67,33,50,0.5374273221130196,6.64,3,2,1,1,1,2,23.0,9.0,쇠퇴기,0.0
(주)엔에프씨,265740,2022,27,35,6,14,175,132,28,28,17,16,105,38,78,3.3,2.76,5.95,3.27,3.21,7.22,0.61,-8.239999999999998,7.470059435374917,7.47,24.32,-0.69,-22.11,-0.86,9039,12,22,29,21,0.4287752937771929,8.93,2,1,0,0,1,1,12.0,4.0,성장기,0.0
(주)엔젠바이오,354200,2022,-25,-68,-14,-71,149,138,122,115,20,25,86,77,45,-38.68,-18.12,-89.31,-13.79,-15.31,-78.05,-1.7,-16.33,28.03258341358117,0.0,0.0,0.0,0.0,0.0,990,2,12,9,-994,0.196166396958184,9.79,0,1,0,0,1,0,9.0,4.0,쇠퇴기,1.0
(주)엔지스테크널러지,208860,2019,-5,-7,-4,-48,100,90,232,159,50,0,24,48,30,-85.41,-12.43,-132.69,-3.79,-4.05,-55.38,52.24,-75.77,178.0720015949604,0.0,0.0,0.0,0.0,0.0,-1251,-1,-14,-20,0,0.0730966084763422,3.02,0,1,0,0,0,0,26.0,8.0,도입기,1.0
(주)엔지켐생명과학,183490,2020,-28,-34,-12,-56,1073,979,71,14,35,77,19,85,59,-23.9,-17.75,-67.81,-17.77,-18.3,-74.01,3.4,1.5100000000000016,45.66479297389567,45.66,66.04,-13.57,-17.96,5.78,-7683,-6,-51,-30,0,0.2085458234887995,4.02,0,2,0,0,1,0,25.0,6.0,도입기,1.0
(주)엔케이,85310,2017,11,19,4,8,85,55,56,50,20,-5,11,27,64,-4.73,-3.07,-5.52,-3.52,-3.91,-7.93,1.9,17.5,-4.407847913043468,-4.41,-9.35,-2.43,-26.0,-0.39,13640,6,13,11,-49,0.5047785465444916,4.72,3,1,1,0,1,2,40.0,16.0,성숙기,1.0
