회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,기업수명주기,부실판단
(주)브랜드엑스코퍼레이션,337930,2022,30,164,9,5,261,92,40,38,5,44,16,71,71,13.75,10.63,4.76,16.33,15.91,8.41,-0.09,1.9600000000000009,3.2290444119239146,3.23,17.87,-20.6,23.22,-16.43,43865,38,1084,21,23,1.8624977647899337,30.34,7,48,2,2,6,3,7.0,4.0,성숙기,0.0
(주)브리지텍,64480,2022,43,201,11,13,269,261,35,23,6,29,100,46,74,7.39,8.1,5.74,6.72,6.08,6.65,-0.55,-0.29,18.24474461326813,18.24,-7.92,56.87,8.41,229.86,21467,31,465,36,16,0.8428625438867365,12.9,2,19,1,1,2,2,29.0,16.0,성숙기,0.0
(주)브이원텍,251630,2022,-3,-7,-1,-4,213,117,80,33,21,21,34,40,55,-0.68,-3.31,-6.68,0.23,0.02,0.06,0.36,-13.67,32.471477061803625,32.47,15.31,46.77,17.01,104.46,11633,7,56,19,-34,0.3408130131912963,6.41,1,2,1,0,1,1,18.0,7.0,쇠퇴기,0.0
(주)브이티지엠피,18290,2014,2,2,1,2,89,23,310,271,57,-8,0,59,24,-16.97,-4.58,-6.74,0.57,0.57,0.83,7.02,-22.17,1.0803016192888977,1.08,3.19,-1.77,2.32,-3.45,10604,13,35,20,-34,0.6760206283423857,5.01,4,2,1,1,2,1,38.0,30.0,성장기,1.0
(주)블루콤,33560,2022,33,79,3,8,287,153,9,8,4,13,60,21,91,-0.17,-0.36,-0.45,-0.68,-0.75,-2.26,0.02,-0.21,-2.8143062198843443,-2.81,-17.7,1.94,-18.01,-1.72,16410,9,52,28,-2,0.3342859927118663,9.66,3,2,1,0,0,1,33.0,13.0,성숙기,0.0
(주)비덴트,121800,2017,-8,-13,-1,-8,366,259,17,8,10,19,139,26,85,68.9,123.22,274.88,-4.88,-5.02,-26.94,3.64,111.76,75.55244497616171,75.55,42.36,91.48,-0.26,-14.91,80165,49,1017,335,82,0.1461636642495707,10.14,1,3,0,0,0,1,22.0,13.0,쇠퇴기,1.0
(주)비보존제약,82800,2016,23,52,10,6,196,99,85,69,20,36,11,73,54,-7.52,-4.39,-2.61,1.71,1.08,0.72,0.49,25.610000000000003,-13.852144147242637,-13.85,-8.71,-25.18,-23.99,-13.93,6983,17,193,10,-26,1.6256019483222257,7.53,4,11,2,2,5,2,22.0,19.0,성숙기,1.0
(주)비씨월드제약,200780,2021,-3,-3,-2,-5,65,37,129,71,48,-11,5,20,44,-1.78,-1.46,-3.62,-0.89,-0.99,-2.9,3.04,0.08,4.620924451782735,4.62,-13.54,10.46,8.85,10.25,22818,12,21,37,-10,0.3353813018309064,4.3,3,0,0,0,0,2,44.0,10.0,도입기,1.0
(주)비아트론,141000,2022,46,5022,6,17,425,409,15,15,0,41,53,54,87,9.85,9.47,22.38,7.67,7.25,19.68,-1.11,0.6799999999999997,3.0189118350423367,3.02,22.02,-12.81,-11.13,0.82,30444,16,94,43,52,0.3631307692668983,11.63,1,2,0,0,1,1,23.0,12.0,성숙기,0.0
(주)비엘,142760,2018,-10,-12,-6,-10,88,74,124,115,46,-6,49,45,45,-58.74,-18.41,-18.93,-5.49,-6.48,-7.19,3.07,-39.84,307.9501877497434,307.95,124.0,1160.47,1031.41,724.22,5946,4,20,7,-274,0.5614617727154283,17.65,2,5,1,1,2,2,25.0,8.0,도입기,1.0
(주)비엘팜텍,65170,2014,4,6,2,2,82,54,80,73,31,-7,13,33,56,-3.5,-2.5,-2.17,3.22,3.01,3.2,1.86,7.539999999999999,0.5237634320365192,0.52,0.99,0.29,21.48,-5.05,8654,13,37,14,-15,0.936520417689953,9.25,4,3,1,1,1,3,29.0,22.0,도입기,1.0
(주)비엠티,86670,2022,-1,-1,-1,-1,157,73,124,75,43,19,4,52,45,16.03,8.14,10.5,11.05,10.86,16.21,1.4,8.560000000000002,27.69137833348976,27.69,24.2,31.77,31.63,39.26,44005,19,61,31,34,0.5972605431517778,4.88,2,2,1,1,1,1,24.0,17.0,도입기,0.0
(주)비올,335890,2022,171,950,22,31,769,688,14,14,2,81,191,93,87,35.06,31.13,36.88,35.58,34.69,41.51,-0.98,15.860000000000005,48.95783590328592,48.96,56.27,-6.17,69.32,-3.18,18378,41,900,59,62,0.6984717812690198,9.2,1,15,1,1,9,1,5.0,5.0,성장기,0.0
(주)비즈니스온커뮤니케이션,138580,2022,39,63,11,23,188,188,37,17,17,11,89,23,73,16.84,14.18,26.83,14.44,14.25,27.47,1.07,6.83,31.16801266827182,31.17,-25.76,69.59,30.98,-6.87,22085,23,1351,50,53,0.4571919035251954,6.53,2,26,1,1,1,2,17.0,7.0,성장기,0.0
(주)비케이홀딩스,50090,2014,7,13,5,29,69,66,188,150,36,-16,1,36,35,-43.41,-28.45,-115.83,1.29,1.23,8.47,11.98,-39.44,-20.40568145008338,-20.41,35.1,-35.36,-77.23,-53.15,2007,2,9,15,-761,0.1634449793258029,2.37,1,0,0,0,0,1,24.0,20.0,성숙기,1.0
(주)비트컴퓨터,32850,2022,56,158,8,18,402,399,18,11,5,29,103,38,85,8.01,8.84,14.02,8.82,8.42,17.49,-0.52,-0.5299999999999994,3.5584175610522912,3.56,8.67,0.65,-3.56,4.09,18737,25,86,53,26,0.4729753497059077,10.49,1,2,1,0,1,1,36.0,27.0,성숙기,0.0
(주)비피도,238200,2022,80,484,4,13,1262,1156,5,4,1,40,45,43,96,3.0,3.09,10.6,3.49,2.31,8.66,-4.33,-6.44,0.5294703345974808,0.53,-5.54,5.75,20.32,-1.91,6559,12,27,45,24,0.2653694347022201,9.13,1,1,0,0,0,1,25.0,6.0,성숙기,0.0
(주)빅솔론,93190,2022,41,413,6,12,476,302,18,14,2,45,81,57,84,6.24,6.44,7.62,11.26,10.65,18.63,-0.94,-8.95,6.720833325995601,6.72,1.99,13.73,34.37,17.12,47015,19,257,35,22,0.5537202190950111,8.09,1,8,1,1,1,1,22.0,17.0,성장기,0.0
(주)빅텍,65450,2022,18,51,7,9,309,209,58,27,13,36,72,53,63,-0.39,-0.29,-0.31,2.29,1.75,2.22,0.07,-9.91,3.601267205997837,3.6,-8.01,20.47,-27.42,37.19,16722,17,92,22,-1,0.7730311201114181,23.77,3,3,1,1,2,1,28.0,21.0,성장기,0.0
(주)삼양옵틱스,225190,2022,96,402,26,24,362,231,37,22,7,43,144,59,73,22.34,16.63,15.03,21.58,21.41,20.03,0.07,-7.199999999999999,-4.582981344953136,-4.58,-6.2,-2.14,-4.73,-0.85,29584,59,208,54,28,1.0942539425014275,7.08,3,4,1,1,3,2,11.0,7.0,성숙기,0.0
(주)삼영,3720,2015,1,2,0,0,101,66,58,48,21,0,3,31,63,-12.28,-7.71,-10.15,-6.98,-6.99,-9.88,0.92,2.6900000000000013,-8.692656811858036,-8.69,-12.32,-7.0,-20.87,-8.01,12630,7,12,10,-101,0.7408265629153987,4.24,4,1,1,1,1,2,65.0,48.0,성숙기,1.0
(주)삼일기업공사,2290,2022,41,11802,6,7,675,675,17,15,0,75,192,88,85,4.0,3.71,3.92,4.31,2.94,3.4,-1.58,-0.8499999999999996,0.9294227219482176,0.93,0.73,2.47,-13.8,-3.48,9357,13,593,15,27,0.8606534382253275,9.7,1,40,1,1,8,1,66.0,32.0,성숙기,0.0
(주)삼진엘앤디,54090,2014,11,21,5,4,142,106,95,72,26,16,25,52,51,-8.9,-4.71,-3.49,-0.81,-1.04,-0.81,0.92,-11.07,-6.032479355745998,-6.03,-8.96,-2.58,-7.23,-1.81,43005,25,63,19,-19,1.3299811552935468,5.89,3,3,1,1,3,2,37.0,20.0,성숙기,1.0
(주)삼화네트웍스,46390,2022,9,26,3,3,241,241,44,34,11,34,25,57,70,27.16,18.38,16.82,13.91,13.13,13.08,0.45,10.36,3.0736343932146464,3.07,-5.19,16.83,150.0,13.61,22194,27,139,27,62,0.9884979547837808,17.32,2,5,1,1,3,2,33.0,23.0,성숙기,0.0
(주)상보,27580,2016,-3,-4,-2,-2,99,76,214,178,48,-1,32,56,32,-37.51,-12.03,-13.35,-6.2,-6.27,-7.13,1.89,-28.43,-4.565264962082042,-4.57,4.62,-14.15,-15.09,-6.8,5800,3,9,4,-349,0.9001642685028024,4.79,2,2,1,1,2,2,35.0,17.0,성장기,1.0
(주)상지카일룸,42940,2014,-22,-84,-15,-15,120,120,219,200,18,13,8,76,31,-68.13,-29.16,-29.81,-16.93,-18.06,-20.26,0.58,-74.27,-20.901879674591616,-20.9,-30.88,42.55,33.44,-7.67,-977,-4,-82,-4,0,1.0093415106742645,2.31,1,18,1,1,5,1,45.0,24.0,성숙기,1.0
(주)서린바이오사이언스,38070,2022,5,13,2,2,187,146,53,53,13,30,19,64,65,12.03,9.01,9.74,7.53,6.32,8.38,0.63,-11.1,-1.2428221722299653,-1.24,-14.06,34.94,26.87,9.87,24451,18,150,24,41,0.7593027117880111,12.18,1,7,1,1,2,1,31.0,19.0,도입기,0.0
(주)서산,79650,2022,40,0,2,6,1168,1009,7,6,0,65,76,71,94,1.74,1.2,2.56,0.81,-0.44,-1.0,-2.83,-4.34,-1.3302922179052985,-1.33,1.02,-6.62,-12.34,-11.47,13015,12,55,26,10,0.4404097805056601,6.45,1,2,0,0,1,1,50.0,19.0,쇠퇴기,0.0
(주)서울리거,43710,2015,-208,-346,-38,-119,367,365,23,22,11,47,225,65,82,-38.36,-35.83,-106.15,-35.17,-36.28,-122.73,2.34,43.69,-15.952638480191997,-15.95,-43.25,649.46,-27.39,-63.14,-5561,-32,-3450,-99,0,0.3236613483473045,15.07,0,19,0,0,2,0,33.0,22.0,도입기,1.0
(주)서울옥션,63170,2022,-11,-14,-4,-14,271,89,57,37,30,40,15,64,64,4.3,2.6,8.24,4.31,4.19,13.98,3.06,-16.75,12.02585302112251,12.03,8.31,19.34,-30.22,5.82,19265,10,39,35,24,0.2837120134901506,23.51,1,1,0,0,1,0,26.0,16.0,도입기,0.0
(주)서울제약,18680,2017,-5,-7,-2,-4,129,74,89,50,31,8,24,34,53,-28.62,-15.2,-31.06,-7.38,-7.55,-17.52,5.18,-15.94,-19.85605775964981,-19.86,-26.6,-15.89,-10.55,-16.87,7374,10,17,22,-143,0.4845756424839351,3.08,2,1,0,0,1,1,39.0,24.0,쇠퇴기,1.0
(주)서전기전,189860,2022,-22,-55,-7,-7,127,103,50,46,13,8,0,39,67,-8.95,-6.61,-6.3,-5.67,-5.73,-5.74,0.42,-2.66,0.7440412179531162,0.74,2.99,-0.63,-3.33,-2.64,5737,11,21,11,-56,0.9940264042920526,3.64,3,2,1,1,2,3,13.0,10.0,도입기,0.0
(주)성창오토텍,80470,2022,15,47,9,6,103,66,153,121,19,2,13,49,39,5.52,2.4,1.4,6.12,5.81,3.76,0.31,-4.190000000000001,7.376545505793078,7.38,11.3,3.8,27.81,10.71,40582,33,92,22,6,1.4916564506964896,6.63,5,4,2,2,3,3,28.0,18.0,성숙기,0.0
