회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
주식회사강림나노텍,67480,2015,-0.15,-0.25,-0.13,-0.12,80.1,38.2,571.36,386.56,49.98,-11.46,0.02,46.12,14.9,12.11,1.93,1.66,7.46,6.84,5.95,3.23,-0.2868637987281257,27.00616680982513,27.01,42.3,16.31,0.47,18.88,2149.36,18.07,37.54,17.59,9.41,66.26,1.0270437653269002,10.23,5.96,2.32,1.17,1.15,2.05,2.62,17.0,0,0,1,0,0.0
동방테크주식회사,73263,2022,0.71,0.76,0.59,1.92,25.0,10.03,523.13,453.96,77.78,-54.64,2.41,18.21,16.05,1.6,0.26,0.82,3.0,2.95,9.32,8.71,-0.0029917058091407,4.038476142621232,4.04,2.68,4.35,-7.36,1.32,1434.13,7.02,9.6,22.63,3.64,65.61,0.3099772437445738,8.13,4.05,0.43,0.32,0.32,0.39,1.72,22.0,0,0,1,0,0.0
동아항공(주),66336,2022,15.14,152.06,2.75,56.26,267.1,267.1,22.25,4.56,1.81,6.23,40.56,9.96,81.8,5.18,7.09,84.9,5.83,1.61,32.29,-33.0408,0.0398223221575865,3.2838456206851467,3.28,-53.68,19.56,28.48,-0.43,2561.04,3.87,9.13,78.95,83.39159999999995,46.01,0.0489588779415864,4.62,0.31,0.12,0.08,0.05,0.06,0.31,34.0,0,0,1,0,0.0
건영테크(주),76357,2022,6.88,9.81,5.59,5.0,73.63,63.87,432.98,270.61,56.96,-13.39,17.97,37.38,18.76,-15.37,-3.39,-2.8,1.91,1.89,1.6,1.06,-0.0777176423711098,11.98507260044254,11.99,20.52,7.44,30.25,11.18,2830.86,7.73,13.23,6.92,-40.4,17.02,1.117004734245886,8.32,3.75,2.01,1.21,1.18,1.85,3.27,17.0,0,0,1,0,0.0
주식회사에이치에스티,95008,2022,0.45,0.57,0.26,0.73,246.03,240.85,138.69,57.97,46.0,35.46,16.84,59.75,41.9,-11.43,-5.3,-14.06,-1.96,-3.09,-8.87,0.79,-0.2037205270567828,0.0,-7.22,-21.08,25.48,-43.44,28.49,-209.17,-0.82,-2.17,-2.26,0.0,0.0,0.0,1.23,0.54,1.08,0.38,0.35,1.0,0.53,7.0,0,0,1,0,0.0
주식회사오대,62037,2022,7.98,11.44,4.66,4.66,96.82,81.56,140.56,93.05,40.76,-1.23,8.74,37.45,41.57,6.91,2.95,2.78,4.33,4.2,4.02,1.28,0.010866618658124,0.0,9.44,21.47,3.31,5.63,2.88,7589.38,15.81,25.96,15.81,17.57,55.02,0.0,4.81,3.47,1.66,1.06,1.04,1.62,2.93,46.0,0,0,1,0,0.0
주식회사호원오토,41314,2022,14.9,21.11,9.74,11.97,27.41,12.17,189.05,160.13,46.16,-40.21,0.81,15.19,34.6,3.51,1.07,1.06,2.59,2.58,2.87,1.7,0.00837168278249,23.785959257126688,23.79,30.91,22.59,81.75,22.63,10006.6,11.03,14.82,13.54,7.8,93.14,0.8141414032785669,22.64,15.38,1.06,1.01,0.9,1.06,6.08,33.0,0,0,1,0,0.0
주식회사피엔텔레컴,80713,2018,13.2,17.11,10.07,8.62,78.63,22.93,322.16,297.1,58.86,-15.04,0.82,55.33,23.69,-47.13,-13.83,-12.5,-12.64,-12.7,-11.6,2.1,-0.4942928371305333,-11.91181101100192,-11.91,-32.0,38.94,-39.39,0.0,1041.47,7.9,178.21,6.76,-184.97,-5.16,1.1686126369981562,4.24,3.9,26.38,1.11,1.09,3.04,1.71,22.0,0,0,1,0,0.0
(주)대명종합건설,86856,2022,-16.65,-26.72,-14.33,-19.41,150.37,25.46,617.59,433.98,53.64,30.46,2.21,90.94,13.94,7.79,1.12,1.41,3.42,3.41,4.37,2.73,0.0074607130786291,12.2421615850191,12.24,9.0,60.11,-19.21,86.47,975.68,5.17,75.75,7.0,20.22,77.31,0.7383720813267916,7.09,5.42,14.1,0.79,0.78,10.03,0.85,9.0,0,0,1,0,0.0
(주)월드이엔씨,51104,2022,-1.31,-2.47,-0.75,-0.56,102.55,81.99,135.71,126.71,30.47,1.37,19.97,55.13,42.42,4.5,2.03,1.38,2.16,2.11,1.45,0.58,0.013133830193542,17.023015295828433,17.02,36.67,-0.54,22.03,-0.7,2283.97,13.46,31.38,9.97,13.86,43.83,1.3497802804244603,4.53,3.61,3.14,1.47,1.46,3.0,2.83,25.0,0,0,1,0,0.0
