회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)베리콤,75967,2022,93.49,460.17,18.21,29.82,469.34,348.86,24.2,17.0,3.96,50.56,81.64,64.25,80.52,14.59,12.12,17.97,13.21,12.69,19.47,-0.6,0.5399999999999991,14.32091743464018,14.32,24.88,-0.76,27.21,0.72,10425.11,23.54,74.92,38.54,46.62,75.54,0.6107180350147982,11.2,1.45,1.93,0.67,0.65,1.7,1.06,26.0,0,1,0,0,0.0
주식회사백향에스앤피,78781,2017,41.7,55.61,27.18,7.73,594.55,210.16,187.12,44.01,48.88,75.8,77.98,91.13,34.83,969.33,42.45,16.43,57.12,56.12,22.39,3.44,969.33,-44.57851841598568,-44.58,-48.66,201.64,95.29,-45.12,9145.84,86.92,1389945.74,24.73,66.43,91.09,3.5154325542982674,153.64,7.43,39838.56,2.58,2.51,59.54,2.62,9.0,0,1,0,0,0.0
주식회사김덕규과자점,88710,2022,15.69,17.39,11.85,21.87,11.11,10.22,308.74,154.38,68.16,-33.57,3.9,4.2,24.47,64.52,12.21,22.03,15.42,15.41,27.98,3.77,-16.17,3.4404710290852134,3.44,-20.94,4.86,73.18,2.66,3856.15,28.43,30.57,52.47,41.99,69.33,0.5417531083627992,106.28,12.54,0.59,0.55,0.55,0.58,11.4,9.0,0,1,0,0,0.0
(주)동양페시마,70079,2022,10.27,17.34,4.93,2.94,201.53,174.34,92.41,64.97,28.44,34.28,54.99,68.05,51.97,21.55,11.43,6.23,14.05,13.68,7.68,0.23,12.23,12.980111243897296,12.98,17.16,4.99,36.78,1.8,4315.99,21.92,78.6,13.06,47.69,66.97,1.6791869500044876,4.5,3.37,6.07,1.84,1.78,5.38,2.66,24.0,0,1,0,0,0.0
(주)라온엠타워,81100,2018,56.9,74.8,29.68,16.03,783.43,239.88,109.07,26.53,39.69,86.73,58.05,99.42,47.83,103.57,27.26,17.62,37.01,36.81,23.79,1.34,-84.5,-28.27999344575964,-28.28,-28.38,-5.22,153.5,-5.23,3321.62,51.03,8750.53,27.56,63.95,88.26,1.852078781677222,15.67,8.04,309.03,1.55,1.55,309.01,1.55,8.0,0,1,0,0,0.0
주식회사케이엠씨,39222,2022,9.76,12.42,4.25,5.76,109.76,82.05,77.17,69.24,34.22,3.81,53.0,42.9,56.44,4.64,2.45,3.47,3.46,3.3,4.67,1.39,-0.1500000000000003,-8.569753292917301,-8.57,-16.37,-1.68,-22.62,-1.84,1261.09,10.44,18.31,14.13,24.54,51.08,0.7385382415310433,6.31,2.11,1.28,0.71,0.71,1.28,1.57,25.0,0,1,0,0,0.0
(주)테라윈프린팅,78546,2022,8.14,13.01,2.1,4.05,130.6,103.23,34.79,34.65,16.14,7.87,48.86,33.57,74.19,-5.92,-5.6,-8.72,-5.25,-5.77,-11.57,-0.23,-10.32,-7.486768460131805,-7.49,8.87,-14.02,-24.34,-20.59,6794.0,13.06,31.64,25.18,-34.64,54.91,0.5184647053818412,9.64,2.01,1.11,0.64,0.5,0.72,1.61,23.0,0,1,0,0,0.0
(주)솔톤바이오켐,84845,2022,49.35,0.0,8.93,5.83,391.85,277.47,22.09,21.02,0.0,50.24,85.74,67.46,81.91,10.22,8.69,5.2,8.33,7.4,4.63,-0.58,4.36,8.991335591431618,8.99,18.41,-6.44,5.39,-6.2,3926.32,24.09,97.27,15.71,33.06,47.27,1.5327093555987854,7.13,3.44,5.99,1.67,1.6,4.55,2.46,44.0,0,1,0,0,0.0
주식회사블루폼,85660,2022,28.68,39.37,17.4,20.89,81.08,53.91,154.35,138.7,44.2,-10.32,4.24,44.22,39.32,12.46,4.83,5.63,7.82,7.8,9.22,1.72,4.490000000000001,3.1720180674260736,3.17,-8.06,14.23,23.07,17.11,5344.04,25.67,48.29,30.82,18.27,82.6,0.8329483674703141,3.3,2.93,1.69,0.86,0.85,1.59,1.8,17.0,0,1,0,0,0.0
주식회사유디코디앤씨,87066,2019,5.85,6.45,6.47,4.65,255.94,31.96,0.0,0.0,100.22,60.86,15.74,99.89,0.0,0.0,15.14,14.53,21.22,21.22,20.37,2.04,0.0,0.0,-40.2,-40.23,22.57,1400.52,82.72,3830.58,25.47,55859.01,18.3,79.41,94.34,0.0,27.89,10.34,3945.62,1.04,1.04,1367.67,1.04,15.0,0,1,0,0,0.0
